米走雞Deluxe Running Chicken Deluxe,250,銅鑼灣渣甸街50號渣甸中心3樓全層,$101-200,港式,火鍋,(274 食評),7181,Unnamed: 8
勝香園 Sing Heung Yuen,950.0,中環美輪街2號排檔,$50以下,港式,茶餐廳/冰室,(1340 食評),42959,最優秀中西區/港式餐廳開飯熱店
滾得囍宮廷火鍋小炒 Big Boils Club,225.0,北角馬寶道33號馬寶學林1樓116-125號舖,$201-400,港式,火鍋,(251 食評),8042,送 25里數 / 30積分
尚鮮火鍋海鮮料理 Seansin Seafood Hotpot Experts,206.0,銅鑼灣耀華街3號百樂中心8樓,$201-400,港式,火鍋,(221 食評),7337,送 25里數 / 30積分
周記點心 Chau Kee,149.0,西環西營盤水街東利大厦地下H1號舖,$50以下,港式,點心,(195 食評),15917,
瑞記咖啡 Shui Kee Coffee,245.0,上環皇后大道中345號上環市政大廈2樓熟食中心17號舖,$50以下,港式,茶餐廳/冰室,(362 食評),16876,
聰嫂星級甜品 Cong Sao Star Dessert,184.0,銅鑼灣耀華街11號地舖,$50以下,港式,甜品/糖水,(278 食評),16627,
新南苑私房菜火鍋鷄煲,134.0,灣仔盧押道18號海德中心2樓,$201-400,港式,火鍋,(152 食評),4704,"惠顧正價食品滿港幣1,000元可享港幣100折扣"
百味鮮辣蟹專門店 Tasty and Seasonal Restaurant,146.0,西環石塘咀德輔道西434號均益大廈1期地下,$101-200,港式,海鮮,(154 食評),2282,
旺記冰室 Mon Kee Cafe,108.0,灣仔謝斐道142號建利大廈地舖,$50以下,港式,茶餐廳/冰室,(167 食評),8673,
低調高手大街小食 Master Low-key Food Shop,212.0,筲箕灣東大街76A號B3號舖地下,$50以下,港式,小食店,(316 食評),7721,最優秀東區/小食店開飯熱店
華星冰室 Capital Café,325.0,灣仔克街6號廣生行大廈地下B1號舖,$50以下,港式,茶餐廳/冰室,(592 食評),19193,
金記冰室 Kam Kee Cafe,177.0,灣仔天樂里6-18號恆安大廈地下D及E舖,$51-100,港式,茶餐廳/冰室,(227 食評),6037,
榮記粉麵 Wing Kee Noodle,204.0,銅鑼灣糖街27號A地下,$50以下,車仔麵,港式,(357 食評),12649,
桻之燒,110.0,筲箕灣筲箕灣東大街55號地舖,$101-200,港式,海鮮,(121 食評),2416,
裕興咖啡 Yue Hing,94.0,中環士丹利街82號舖,$50以下,港式,大牌檔,(112 食評),10066,
薈麵館 Congee n Noodle,118.0,灣仔皇后大道東183號合和中心7樓709號舖,$51-100,港式,粉麵/米線,(127 食評),1407,
金記冰室 Kam Kee Cafe,111.0,銅鑼灣霎東街5號地下,$51-100,港式,茶餐廳/冰室,(163 食評),5416,
火鍋撚 Hot Pot Land,79.0,中環雲咸街46-48號雲明行3樓,$201-400,港式,火鍋,(99 食評),8531,送 25里數 / 30積分
華記士多 Wah Kee Store,93.0,西灣河筲箕灣道48號地下3B號,$50以下,港式,茶餐廳/冰室,(127 食評),8642,
616牛肉火鍋專門店,88.0,西環皇后大道西384-386號三多大樓地下A號舖,$101-200,港式,火鍋,(100 食評),3406,全單9折
隆記茶室,90.0,北角和富道18號地舖,$50以下,港式,茶餐廳/冰室,(106 食評),1420,
安安燒 On On BBQ,138.0,筲箕灣南安街93號鯉景大廈地下A舖,$101-200,港式,海鮮,(162 食評),3573,送 25里數 / 30積分
三才魚蛋粉麵,74.0,銅鑼灣渣甸坊48號采怡閣地下6號舖,$50以下,港式,粉麵/米線,(78 食評),1965,
李好味 Lee Lo Mei,38.0,中環擺花街8號地下及1樓,$201-400,港式,中菜館,(72 食評),12518,送 25里數 / 30積分
海安咖啡室 Hoi On Cafe,138.0,上環干諾道西17號地下,$50以下,港式,茶餐廳/冰室,(242 食評),10222,
好日咖啡店 GoodDay Cafe,77.0,銅鑼灣希雲街12號地舖,$51-100,港式,三文治,(92 食評),5478,送 25里數 / 30積分
羅麥記 Law Mak Kee,110.0,銅鑼灣軒尼詩道500號希慎廣場14樓1402號舖,$51-100,港式,茶餐廳/冰室,(170 食評),3593,
源記甜品專家 Yuen Kee Dessert,347.0,西環西營盤正街32號地下,$50以下,港式,中式糖水,(553 食評),9053,
東園酒家宴會廳 Tung Yuen Banquet,80.0,灣仔軒尼詩道71-85號熙華大廈地下及1樓,$51-100,港式,山珍海味,(110 食評),1406,
福元湯圓 Fook Yuen,208.0,北角炮台山福元街7號利都樓地下I-1舖,$50以下,港式,甜品/糖水,(274 食評),6757,
龍城冰室 Dragon City Cafe,81.0,銅鑼灣謝斐道500號維安商業大廈地舖,$50以下,港式,茶餐廳/冰室,(93 食評),686,
祥發茶餐小廚,76.0,北角七姊妹道27D號地舖,$50以下,港式,茶餐廳/冰室,(112 食評),4852,
甜姨姨私房甜品 Auntie Sweet,183.0,天后清風街13號地下,$50以下,港式,甜品/糖水,(277 食評),5860,
頭啖湯 First Taste Soup,78.0,天后威菲路道15-19號萬順樓地舖,$101-200,港式,火鍋,(85 食評),789,送 25里數 / 30積分
華嫂冰室 Mrs Tang Cafe,43.0,灣仔謝斐道272號杜智臺地下3-4號舖,$51-100,港式,三文治,(97 食評),6973,
亞古鍋 Ragout Hotpot,69.0,銅鑼灣登龍街1-29號金朝陽中心2期Midtown 27樓,$201-400,港式,火鍋,(74 食評),2252,送 25里數 / 30積分
安利魚蛋粉麵 On Lee Noodle,136.0,筲箕灣筲箕灣東大街22號,$50以下,港式,粉麵/米線,(294 食評),6268,
筷子記 Chopsticks Kee,158.0,中環威靈頓街85-89號群英商業大廈A1號舖,$50以下,車仔麵,港式,(326 食評),6758,
樂香園咖啡室 Lok Heung Yuen Coffee Shop,97.0,中環機利文新街8-12號地下,$50以下,港式,茶餐廳/冰室,(153 食評),5547,
孖沙茶餐廳 Ma Sa Restaurant,96.0,上環禧利街23號地下,$50以下,港式,粉麵/米線,(136 食評),7105,
旺記冰室 Mon Kee Cafe,61.0,鰂魚涌英皇道955-957號惠芳閣地下A號舖,$50以下,港式,茶餐廳/冰室,(98 食評),2411,
四季常餐 Cafe Seasons,40.0,中環威靈頓街112-114號新威大廈地下C舖,$50以下,港式,茶餐廳/冰室,(85 食評),7116,
新記雞粥 Sun Kee Chicken Congee,66.0,筲箕灣筲箕灣道307號地下及1樓,$50以下,港式,粥品,(91 食評),1455,送 25里數 / 30積分
公利 Kung Lee,298.0,中環蘇豪荷李活道60號地下,$50以下,港式,涼茶/龜苓膏,(365 食評),5753,
Dim Sum Library,36.0,金鐘金鐘道88號太古廣場1樓124號舖,$101-200,港式,點心,(69 食評),5929,
Oddies,69.0,中環歌賦街45號地舖,$50以下,港式,甜品/糖水,(93 食評),5102,
一樂燒鵝 Yat Lok Restaurant,79.0,中環士丹利街34-38號地舖,$50以下,港式,粉麵/米線,(229 食評),15711,
炳記茶檔,138.0,大坑施弼街5號側,$50以下,港式,茶餐廳/冰室,(202 食評),7753,
合和荳品,58.0,銅鑼灣霎東街4號地下,$50以下,港式,中式糖水,(61 食評),531,
人和荳品廠 Yan Wo Dou Bun Chong,78.0,銅鑼灣渣甸街55號,$50以下,港式,甜品/糖水,(136 食評),2444,
喜喜冰室 Cafe Match Box,36.0,銅鑼灣Fashion Walk百德新街57號地下C&D號舖,$51-100,港式,茶餐廳/冰室,(75 食評),3126,
