原味家作 Original Taste Workshop,1.0,薄扶林數碼港數碼港道100號數碼港商場4樓403號舖,$51-100,港式,湯品,(1 食評),20,增值滿$500可獲贈$25原味家作現金劵乙張
The Pit Juice,,薄扶林數碼港道100號數碼港商場4樓美食廣場417號舖,$50以下,港式,台式飲品,(2 食評),11,
滋味坊,,薄扶林數碼港道100號數碼港商場4樓409號舖,$51-100,港式,中菜館,,4,
百樂金宴 Golden Lilies Banquet,7.0,薄扶林數碼港道100號數碼港商場102號舖,$201-400,粵菜 (廣東),酒樓,(11 食評),198,指定晚膳套餐5折；指定晚膳菜式6折
南坊 Nam Fong,17.0,薄扶林數碼港道100號數碼港艾美酒店3樓,$101-200,粵菜 (廣東),中菜館,(29 食評),507,8折
滋味坊,,薄扶林數碼港道100號數碼港商場4樓409號舖,$51-100,粵菜 (廣東),中菜館,,4,
Bar Umami,33.0,薄扶林數碼港道100號數碼港艾美酒店大堂,$101-200,日本菜,日式西餐,(49 食評),623,8折
Pepper Lunch Express,1.0,薄扶林數碼港道100號數碼港商場4樓403A舖,$51-100,日本菜,Food Court,(2 食評),63,
蓮．越泰坊,4.0,薄扶林數碼港道100號數碼港商場3樓304舖,$51-100,越南菜,泰國菜,(15 食評),95,
Dad Day Out 野餐及遊戲到會 Dad Day Out food & fun catering (非門市),,,$101-200,多國菜,網店/食品分銷,,6,
南記粉麵 Nam Kee Spring Roll Noodle Co. Ltd,35.0,香港仔香港仔大道208號地下1-3舖,$50以下,港式,粉麵/米線,(49 食評),284,
榮式燒雞扒 Wing's Cuisine,12.0,香港仔舊大街58-62號地下1-2舖,$50以下,港式,茶餐廳/冰室,(24 食評),321,
魚米 Yu Mai,8.0,香港仔湖北街16號地舖,$50以下,港式,粉麵/米線,(22 食評),141,
艇仔粉,11.0,香港仔香港仔海傍公園,$50以下,港式,粉麵/米線,(16 食評),1051,
覓廚 Mix n Match,7.0,香港仔香港仔大道120號百匯行11樓,$51-100,港式,拉麵,(12 食評),206,
周記茶餐廳,20.0,香港仔香港仔大道154號,$50以下,港式,茶餐廳/冰室,(29 食評),597,
大佳B甜品屋,37.0,香港仔舊大街120號兆群大廈地下3號舖,$50以下,港式,甜品/糖水,(63 食評),392,
潮苑正宗潮洲粉麵 Chiu Yuen Chiu Chow Noodle,24.0,香港仔湖北街12號地下,$50以下,港式,粉麵/米線,(58 食評),236,
金門餐廳 Golden Gate Restaurant,29.0,香港仔西安街2-3號,$50以下,港式,麵包店,(63 食評),308,
滿記甜品 Honeymoon Dessert,5.0,香港仔南寧街ac5地下5號舖,$50以下,港式,甜品/糖水,(13 食評),72,
拱照車仔麵,8.0,香港仔香港仔大道196號地舖,$50以下,車仔麵,港式,(24 食評),143,
富嘉食堂 FullGar Canteen,6.0,香港仔香港仔大道 234 號富嘉工業大廈 401-402室,$101-200,港式,粉麵/米線,(9 食評),287,
功夫點心 Kung Fu Dim Sum,6.0,"香港仔香港仔大道190號地下A, B & C舖",$50以下,港式,點心,(20 食評),143,
麗絲快餐店,8.0,香港仔華富（二）邨商場6樓17-18號舖,$50以下,港式,快餐店,(10 食評),113,
翠華餐廳 Tsui Wah Restaurant,29.0,香港仔香港仔舊大街108-116號地下,$51-100,港式,無肉餐單,(58 食評),217,
南記粉麵 Nam Kee Spring Roll Noodle Co. Ltd,5.0,香港仔東勝道10號朗盈商業大廈1樓及2樓,$50以下,港式,粉麵/米線,(12 食評),83,
永康甜品店 Wing Hong Dessert,10.0,香港仔香港仔大道171號金豐大廈地下K-L舖(東勝道入),$50以下,港式,甜品/糖水,(19 食評),122,
成記牛什粉麵,4.0,香港仔香港仔大道203號香港仔市政大廈2樓熟食中心10號舖,$50以下,港式,粉麵/米線,(5 食評),47,
漁米鎮菜館,8.0,香港仔舊大街80-82號地下,$51-100,港式,茶餐廳/冰室,(17 食評),314,
湯加 Soup Plus,,香港仔湖北街22號地舖,$50以下,港式,湯品,(12 食評),94,
香港仔魚市場二合海鮮餐廳 Aberdeen Fish Market Yee Hope Seafood Restaurant,8.0,香港仔香港仔石排灣道102號香港仔魚類批發市場,$101-200,港式,海鮮,(15 食評),1009,
豐盛餃子園,2.0,香港仔石排灣道90號四喜大廈地下,$50以下,港式,雲吞/餃子,(4 食評),73,
樂粥本,2.0,香港仔香港仔大道181號地舖,$50以下,港式,港式,(6 食評),67,
餃子達人 Dumpling Hero,1.0,香港仔華貴道3號華貴坊20號舖,$50以下,港式,雲吞/餃子,(3 食評),33,
殿糖級,5.0,香港仔南寧街ac4 1樓1號舖,$50以下,港式,甜品/糖水,(10 食評),57,
華富冰室 Wah Fu Cafe,3.0,香港仔華富邨商場1期地下,$50以下,港式,茶餐廳/冰室,(15 食評),97,
