Papa Razzi Terrazza Italiana (裝修中),25,尖沙咀諾士佛臺2號地下,$201-400,意大利菜,酒,(51 食評),293,Unnamed: 8
Papa Razzi Terrazza Italiana (裝修中),25.0,尖沙咀諾士佛臺2號地下,$201-400,意大利菜,酒,(51 食評),293,
騷 Soul,112.0,尖沙咀諾士佛臺9號冠福中心9樓904室,$101-200,西式,All Day Breakfast,(155 食評),7157,送 25里數 / 30積分
蠔站 OS Oyster Station,50.0,尖沙咀諾士佛臺1號7樓,$101-200,西式,海鮮,(83 食評),7042,送 25里數 / 30積分
FINDS,107.0,尖沙咀金巴利道39號帝樂文娜公館1樓,$401-800,西式,海鮮,(152 食評),9690,食品及飲品9折
The Salted Pig,43.0,尖沙咀諾士佛臺1號地舖,$101-200,西式,西式,(79 食評),4508,
Assembly,36.0,尖沙咀諾士佛臺6號地下及1樓,$201-400,西式,美國菜,(43 食評),3960,送 25里數 / 30積分
Port,28.0,尖沙咀諾士佛臺2號,$201-400,西式,海鮮,(35 食評),963,
Wildfire,25.0,尖沙咀諾士佛臺地下2號地舖,$101-200,意大利菜,西式,(47 食評),2303,
Penthouse,20.0,尖沙咀諾士佛臺1號3樓,$101-200,西式,酒吧,(26 食評),474,
EL CID西班牙餐廳 EL CID Spanish Restaurant,57.0,尖沙咀天文台道諾士佛臺14號地下,$201-400,西班牙菜,西餐廳,(112 食評),2546,
Heat Bakery,16.0,尖沙咀金巴利道55號地下D舖,$50以下,西式,麵包店,(18 食評),94,
擂台 The Ring,10.0,尖沙咀諾士佛臺10-11號6樓,$51-100,西式,薄餅,(12 食評),326,
Me Bar+Grill,8.0,尖沙咀諾士佛臺8號地舖,$101-200,西式,酒吧,(8 食評),185,
Dada Bar + Lounge,9.0,尖沙咀金巴利道39號帝樂文娜公館2樓,$101-200,西式,酒吧,(21 食評),1957,食品及飲品9折
All Night Long,9.0,尖沙咀諾士佛臺9號地下,$101-200,西式,飲o野傾計,(15 食評),828,
The China Bar,4.0,尖沙咀諾士佛臺10-11號地下,$101-200,西式,酒吧,(7 食評),287,
Arena Bar by Zerve,,尖沙咀諾士佛臺10號1樓全層,$51-100,西式,酒吧,(1 食評),454,
Abebe Polynesian Bar & Club,1.0,尖沙咀諾士佛臺15號地下,$101-200,西式,酒吧,(3 食評),101,
Joe's Billiards & Bar,,尖沙咀諾士佛臺1號11-12樓,$101-200,西式,酒吧,(4 食評),432,
Q Club,7.0,尖沙咀諾士佛臺15號2樓,$201-400,西式,酒,(17 食評),257,
大樹吧 Big Tree Pub,,尖沙咀諾士佛臺4-5號地下A號舖,$51-100,西式,酒,(16 食評),99,
太平洋咖啡 Pacific Coffee Company,1.0,尖沙咀金巴利道45-47號金巴利廣場地下1A-B號舖,$50以下,美國菜,沙律,(3 食評),24,
Boom Boom Club,,尖沙咀諾士佛臺10號騰龍閣23樓,$101-200,西式,西式,,19,
Awtar Terrace,,尖沙咀諾士佛臺4-5號地下B號舖,$101-200,西式,酒,,102,
Vesper,,尖沙咀諾士佛臺1號諾士佛臺一號10樓,$101-200,西式,酒,,121,
