九重町日本料理 Kokonoe Izakaya,79,屯門藍地福亨村路8號豫豐花園地下N號舖,$101-200,日本菜,壽司/刺身,(91 食評),935,Unnamed: 8
霸嗎拉麵 Ramen Bari-Uma,79.0,屯門屯順街1號屯門市廣場1期3樓3233號舖,$51-100,日本菜,拉麵,(143 食評),863,
赤橋拉麵 Akabashi Ramen,60.0,屯門青菱徑9號華利大廈地下5號舖,$51-100,日本菜,拉麵,(103 食評),3715,
緣聚 Together,68.0,"屯門仁愛堂圍45號興泰大廈地下1,1A, 2至8號地舖",$101-200,日本菜,壽司/刺身,(86 食評),2065,
牛一 Nabe One,76.0,屯門屯隆街3號屯門市廣場一期1樓1246-1266號舖,$101-200,日本菜,火鍋,(109 食評),2692,
漁匠屋,34.0,屯門井財街21號協邦大廈地舖,$101-200,日本菜,壽司/刺身,(51 食評),3625,
鮨亭 Sushi Tei,48.0,屯門青善街22號康景花園地下3-4號舖,$101-200,日本菜,壽司/刺身,(57 食評),1119,
俺流塩らーめん Oreryu Shio Ramen,33.0,屯門屯門鄉事會路83號V City商場1樓19號舖,$51-100,日本菜,拉麵,(67 食評),1484,
鮨千寿 Sushi Senju,31.0,屯門屯順街1號屯門市廣場1期1樓1108-1111號舖,$101-200,日本菜,鐵板燒,(44 食評),1236,送 25里數 / 30積分
御前上茶 Gozen Cha,49.0,屯門屯門鄉事會路83號V City商場1樓13號舖,$51-100,日本菜,甜品/糖水,(101 食評),835,
目利きの銀次 Mekiki no Ginji,59.0,屯門屯門鄉事會路83號V City商場MTR層M-63店,$201-400,日本菜,日本菜,(107 食評),1448,晚膳自選餐牌9折（星期一至四）
定食8 Teishoku 8,27.0,屯門屯隆街1號錦薈坊3樓301-306號舖,$51-100,日本菜,壽司/刺身,(56 食評),878,
牛角日本燒肉專門店 Gyu-Kaku,37.0,屯門屯門鄉事會路83號V City商場1樓L1-18號舖,$201-400,日本菜,烤肉,(63 食評),1042,
八户屋和食料理 Hachinoheya Japanese Restaurant,31.0,屯門屯門鄉事會路2A號 H.A.N.D.S A區1樓A-103號舖,$51-100,日本菜,拉麵,(80 食評),984,
一浩 Kazuhiro,36.0,屯門青山公路1號黃金海岸商場地下R1號舖,$201-400,日本菜,日本菜,(66 食評),1282,送 25里數 / 30積分
峰壽司 Mi-Ne Sushi,35.0,屯門屯門鄉事會路83號V City商場MTR層M-65號舖,$101-200,日本菜,壽司/刺身,(69 食評),772,
MOS Burger,60.0,屯門屯隆街1號錦薈坊2樓206-208號舖,$50以下,日本菜,漢堡包,(85 食評),406,
犇道 Chef Ben,19.0,屯門龍門路43號龍門居商場地下91號舖,$51-100,日本菜,日式西餐,(29 食評),1031,
半熟工房 Hanjuku Kobo,23.0,屯門屯門鄉事會路83號V City商場M11號舖,$51-100,日本菜,麵包店,(31 食評),362,
東京築地拉麵 Tokyo Tsukiji,25.0,屯門屯隆街2號屯門時代廣場南翼地下22號舖,$51-100,日本菜,拉麵,(69 食評),954,
