contents
"『Dior』Cool Wave五色眼影盘试色分享
色号597，眼影盘最具有亮点的颜色就是中间的红调色，像橘色又像红色，还有点像番茄色。下面的4和5也都是珠光色，粉质非常细腻。

眼妆步骤分享
先用1涂在眼睛上，很漂亮的黄金色，暖皮单独使用这一个颜色打底再叠加一个深色就能画出很好看的眼妆。再用4加深眼睛后 ...全文"
【女生买了一支#278块的口红男友嫌贵#，骂太败家了…】近日网上一姑娘投稿称，自己花费278块钱买了一支Dior口红，高高兴兴地告诉男友，然而没想到男友的回复也是扎了心，男友痛斥女朋友太败家，男友觉得七八十块的口红自己都嫌贵，女生晒出聊天记录。对此你的看法是什么？
发布了头条文章《dior戴妃包》不要争争吵吵，其实一晃就老。不要斤斤计较，时光属于你的越来越少。不要唠唠叨叨，相处是缘在一起就是最美好。不要互相拆台，说不定哪天就永远分开。不要整天多爱多爱，只需认真的说一句不离开。
#欣赏# 罗伯特·帕丁森为Dior Homme拍摄最新写真(摄影师：Karl Lagerfeld)
#hi五月# 记录一下第一次用完一整只唇膏对家里橘色那只也是抱有期待 dior唇膏真的好用哎
看了Dior给水原希子拍的广告，我想说，可能Dior在其他国家的审美和智商都是对的，只是在国内出了bug........这可能是数据的锅........
今天是精致的Dior女孩👧
混油皮买气垫 到底是mac海洋还是dior forever 小仙女们给点意见吧
#时尚走秀集#DIOR 2018春夏高级订制 超现实主义理念 营造重重幻影，图4超级仙了
dior999真是最近新宠，买来好久最近才发现她的美！涂上显白，显肤色。
@黎贝卡的异想世界: 读者征集：我看了几万支口红，发现这10支最显白
"做香水功课发现：喜欢了那么久的Dior真我
居然有有EDP EDPA EDT三个种类"
"#水原希子#

水原希子为#Dior# 拍摄视频一则，复古风的Kiko拍摄时尚大片也毫无违和感 你今天穿什么wear的秒拍视频"
"每次买东西前翻翻囤货就又理智了
不好意思了各位，dior forever很棒，但是我不买了真心希望所有粉底都能出10ml啊，15ml都太多"
#C-Oli# Vogue Germany June 2018: Othilia Simon by Giampaolo Sgura || 德版Vogue六月刊，法国超模Othilia Simon头戴Christian Dior遮阳帽登上封面，笑脸很美，不过颜色有点多，头和身子之间也有点怪。
我放弃了Dior、YSL，就为了这个可口可乐的口红！！！(同步自@新浪看点)我放弃了Dior、YSL，就为了这个可口可乐的口红！！！
"CHRISTIAN DIOR Spring Summer 2003 Paris

算是必看的秀场之一了吧 吉娘开场. Tangyimem的秒拍视频"
我发现我真的很少会把东西用完…终于出来两个空瓶…Dior这个水真的用了超久!贵死还无用除了它家的味道都挺好闻之外没看出来怎么变白用了再擦别的还会痛刚开始的时候还不稳定到会红点冒痘…(我真的已经过了发痘的年纪很多年了)…so umm我发自内心喜欢我妈妈也爱的资深堂
"下午茶打卡首尔dior
越来越没耐心p图了"
种了一片草原…问一下各位仙女…tf16，mac的lady bug，和dior的999区别大吗？有dior999了，想买另外两个…但总感觉颜色差不多…或者可以给我种点新草吗宝宝们，最好是黄皮可用o
#五四青年##小猪嘟嘟##放开去野# 这瓶不行，我还是Dior 花漾甜心小姐。
看到有人说dior旷野喷了有点像学校里黑人留学生的味道？？？瞬间被灭草……
#金在中##MOLDIR# 中鹅新店 怕还是有亲找不到，所以做个粗糙的攻略希望能帮到一点点忙1鸭欧亭罗德奥站出的话就四号口直走，图1至图5，走到汉堡王左转，爬上那个坡就是了，2 如果不爱探新路，就还是清潭洞站8号口直走，图6 路过老店，一直走，过一个大十字路口，走到Dior左转 一直走也 ...全文
一辈子真的好难，走走停停。 可是却走不出明天，停不到昨天。 不得不承认，时间改变了很多。每当别人问起自己过得好不好时，都会努力摆出微笑说dior马鞍包“还好吧”。 其实，好不好只有自己最明白。有些事，注定只能藏在心底！生活就是这样，别人只看结果，自己独撑过程。身累？心累？但所有的累只能 ...全文
没吃到雪糕之前，《Dior lady 戴妃包》你唯独喜欢冰棍，却不知道雪糕也一样好吃。感情也同理，总是一而再再而三让你失望的感情，扔了也就扔了，要学会及时止损。人生中值得用心的事情那么多，但伤害你的人不值得。
发布了头条文章《lady dior戴妃包》生活就像忐忑，没有准确的歌词，却惊心动魄。千万不要因为新鲜感而忽略了旧的人。你期待的，你想要的，最后都会输给一直陪着你的。
真尼玛醉了，一个相机卖了一两年才卖出去，然后现在一个dior包卖了两三个月没卖出去imfine没钱是真滴烦，不过问题是我再有钱还是会觉得自己穷得一批
Dior 421真是谜一样的颜色哦 别人涂出来的奶茶色被我涂出了中毒的感觉
Dior Lip Tattoo还是蛮适合我的，喝咖啡不沾杯不掉色，到晚上还是有很好看唇色。奶茶棕色衬肤色也很适合工作场合。最近爱用还包括cpb高光、桃丽丝星辰粉紫\灰色。
dior999在我嘴上就是水红色
涂一个Dior999，元气满满哦
#呆璐show物# Dior 999 matte，属于你的烈焰红唇👄
Kiki Mizuhara stars in Dior Tokyo Capsule campaign #水原希子#
"日日那个化妆视频我也就看了五六七八九十遍吧 真的太开心了 仿佛看到了我自己 大概每个女生化妆都是这种心情吧🙊
所以到底是dior634 999还是杨树林416 8 16还是nars hell gate 还是kat von d project chimps🤦🏻‍♀️"
dior凝脂粉底液和vt水粉霜是我宁愿素颜也不会去碰的底妆了得亏我dior买的是中样不然真的要被气到自杀了
"一个傻dior女同事念新闻，“大批xinxin学子blahblah”
湿恩莘 莘莘学子 海参的参
我没告诉她她读错了。"
#小小橱窗#每次路过Dior 都会有伙伴们在那里拍照，虽然不知道为什么，但好像夜晚的logo更加明亮 成都·成都国际金融中心IFS
据说每个女人的一生之中，都要有一支dior999，谢谢狗黄🙊 广州·华南理工大学南校区
用口红大比方比较好吧……你已经油Dior了为什么要再买一只YSL//@闪光balabala:难道不能用到60岁吗
