place,mag,time
"14km NE of Su'ao, Taiwan",4.4,1463023251600
"17km NE of Su'ao, Taiwan",5.8,1463023035070
"5km NE of Buli, Taiwan",4.6,1462675592870
"29km NE of Hualian, Taiwan",4.5,1462632668480
"57km S of Hualian, Taiwan",4.4,1462521204280
"27km NNE of Hualian, Taiwan",4.1,1462222416140
"25km NNE of Hualian, Taiwan",4.6,1462199340440
"27km NNE of Hualian, Taiwan",4.5,1462056417120
"27km NE of Hualian, Taiwan",4.1,1461867278230
"37km NNE of Hualian, Taiwan",4,1461806086660
"31km NE of Hualian, Taiwan",4.2,1461791706150
"66km NNE of Taitung, Taiwan",5,1461781145080
"33km S of Su'ao, Taiwan",4.3,1461774794440
"36km NE of Hualian, Taiwan",4.5,1461771145690
"30km NE of Hualian, Taiwan",4.7,1461770858450
"34km NE of Hualian, Taiwan",5.5,1461770234440
"2km WNW of Hualian, Taiwan",4.3,1461635148050
"66km S of Hualian, Taiwan",4.3,1461559950200
"48km N of Taitung City, Taiwan",4.3,1461553106250
"46km N of Taitung City, Taiwan",4.2,1460934749540
"81km ESE of Taitung City, Taiwan",4.9,1460804145250
"14km ESE of Hualian, Taiwan",4.4,1460430478800
"5km SW of Su'ao, Taiwan",3.9,1460345124170
"32km SSW of Taitung City, Taiwan",4.1,1460104275420
"14km ENE of Taitung City, Taiwan",4.3,1459152480680
"45km ENE of Hengchun, Taiwan",4.1,1458585290760
"5km WNW of Hualian, Taiwan",4.5,1456843332340
"13km N of Yilan, Taiwan",4,1456709774230
"48km S of Taitung City, Taiwan",4.4,1456541992930
"37km NW of Taitung, Taiwan",4.7,1455758312470
"31km NW of Taitung City, Taiwan",4.9,1455757779290
"38km NW of Taitung City, Taiwan",4.6,1455595495680
"29km NW of Taitung City, Taiwan",4.3,1455590758980
"37km NW of Taitung City, Taiwan",4.2,1455513757750
"14km SE of Hualian, Taiwan",4.9,1454978821430
"16km SE of Tainan, Taiwan",4.1,1454766115910
"25km SE of Yujing, Taiwan",6.4,1454702247380
"30km E of Taitung City, Taiwan",4.1,1453304144920
"21km ENE of Taitung City, Taiwan",5.6,1453169607240
"22km NE of Hualian, Taiwan",4.1,1452705758230
"23km ENE of Hualian, Taiwan",4.1,1452705107530
"65km S of Hualian, Taiwan",4.6,1452487977870
"24km SSE of Su'ao, Taiwan",3.9,1451836809600
"22km NE of Hualian, Taiwan",4.1,1451102724110
"11km SSW of Daxi, Taiwan",4,1451077805300
"12km ENE of Buli, Taiwan",4.4,1450992022170
"17km ESE of Buli, Taiwan",4,1450984712930
"20km SSE of Hualian, Taiwan",4,1450895999710
"66km NNE of Taitung, Taiwan",4.3,1449935241170
"70km SSW of Hualian, Taiwan",4.3,1449934783920
"38km ENE of Hualian, Taiwan",4.3,1449376969000
"31km SE of Taitung City, Taiwan",5.1,1449153072860
"7km E of Yilan, Taiwan",4,1449106666240
