,Subject,Link
87,Decennial Census Information: 1870 Census,https://guides.library.columbia.edu/1870
88,Decennial Census Information: 1880 Census,https://guides.library.columbia.edu/1880
89,Decennial Census Information: 1890 Census,https://guides.library.columbia.edu/1890
90,Decennial Census Information: 1900 Census,https://guides.library.columbia.edu/1900
91,Decennial Census Information: 1910 Census,https://guides.library.columbia.edu/1910
92,Decennial Census Information: 1920 Census,https://guides.library.columbia.edu/1920
93,Decennial Census Information: 1930 Census,https://guides.library.columbia.edu/1930
94,Decennial Census Information: 1940 Census,https://guides.library.columbia.edu/1940
95,Decennial Census Information: 1950 Census,https://guides.library.columbia.edu/1950
96,Decennial Census Information: 1960 Census,https://guides.library.columbia.edu/1960
97,Decennial Census Information: 1970 Census,https://guides.library.columbia.edu/1970
98,Decennial Census Information: 1980 Census,https://guides.library.columbia.edu/1980
99,Decennial Census Information: 1990 Census,https://guides.library.columbia.edu/1990
100,Decennial Census Information: 2000 Census,https://guides.library.columbia.edu/2000
101,Decennial Census Information: 2010 Census,https://guides.library.columbia.edu/2010
102,Dinosaurs and Evolution of the Earth Research Guide,https://guides.library.columbia.edu/Dinosaurs
103,Discovering Chinese Materials,https://guides.library.columbia.edu/c.php?g=384568
104,"Dissertations & Theses (South & Southeast Asia including Australia, New Zealand)",https://guides.library.columbia.edu/sasia-theses
105,Documentaries in Journalism,https://guides.library.columbia.edu/journalism-documentaries
106,Earth & Environmental Engineering Research Guide,https://guides.library.columbia.edu/EAEE
107,Earth and Environmental Sciences Research Guide,https://guides.library.columbia.edu/Earth_Environmental
108,Earth and Environmental Sciences Research Guide for Courseworks,https://guides.library.columbia.edu/EESC
109,"Earth Systems and Environmental Politics, Policy, and Management: Research Guide",https://guides.library.columbia.edu/ENVP-U6241
110,East Africa & The Swahili Coast (MDES W3130),https://guides.library.columbia.edu/MDES-W3130-001
111,East Asian History Course Guide,https://guides.library.columbia.edu/HSEA
112,East Asian Humanities Course Guide,https://guides.library.columbia.edu/AHUM
113,East Asian Studies Course Guide,https://guides.library.columbia.edu/EAAS
114,East Asian Studies Research Guide,https://guides.library.columbia.edu/eastasian
115,"Ecology, Evolution & Environmental Biology (E3B) Research Guide for Courseworks",https://guides.library.columbia.edu/EEEB
116,"Ecology, Evolution & Evolutionary Biology (E3B) Research Guide",https://guides.library.columbia.edu/E3B
117,Economic Indicator,https://guides.library.columbia.edu/EconIndicator
118,Economics Research Guide,https://guides.library.columbia.edu/ECON
119,Electrical Engineering Research Guide,https://guides.library.columbia.edu/ELEN
120,Electronic Resources for Chinese Studies,https://guides.library.columbia.edu/c.php?g=826847
121,Eloquent Animals in Medieval Literature,https://guides.library.columbia.edu/eloquentanimals
122,Energy Resource Guide,https://guides.library.columbia.edu/energy
123,Engineering Databases,https://guides.library.columbia.edu/c.php?g=543611
124,English and American Literature,https://guides.library.columbia.edu/english
125,English for International and Public Affairs Research Guide,https://guides.library.columbia.edu/INAFU6950
126,Entrepreneurship,https://guides.library.columbia.edu/entrepreneurship
127,Environmental Fundamentals: Research Guide,https://guides.library.columbia.edu/INAF-U6071-001
128,Environmental Policy Studies,https://guides.library.columbia.edu/environmentpolicy
129,Executive Leadership,https://guides.library.columbia.edu/POLS-W3922-004
130,Executive Master of Public Policy and Administration: Research Guide,https://guides.library.columbia.edu/EMPA
131,Exploring New York City,https://guides.library.columbia.edu/exploring_nyc
132,Fascism in Germany & Italy,https://guides.library.columbia.edu/fascism
133,Film Studies,https://guides.library.columbia.edu/FILM
134,"Film Studies: Latin America, Caribbean Portugal, and Spain",https://guides.library.columbia.edu/latinamerica_film
135,Finding Consumer Behavior Data,https://guides.library.columbia.edu/consumerdata
136,Food Sustainability Research Guide,https://guides.library.columbia.edu/FoodSustainability
137,Foreign Press Translations,https://guides.library.columbia.edu/translations
138,Frank Lloyd Wright Research Guide,https://guides.library.columbia.edu/frank-lloyd-wright
139,French Empires,https://guides.library.columbia.edu/french-empires
140,French Language & Literature,https://guides.library.columbia.edu/french
141,French Language & Literature,https://guides.library.columbia.edu/FREN
142,French Proseminar,https://guides.library.columbia.edu/FREN-G8091
143,Fula Language and Culture Acquisitions at Columbia,https://guides.library.columbia.edu/fula-language
144,Funding Sources - Science & Engineering,https://guides.library.columbia.edu/funding-sources
145,Gender & Development in Southeast Asia: Research Guide,https://guides.library.columbia.edu/REGN-U6639
146,General Census Monographs,https://guides.library.columbia.edu/general
147,German Studies,https://guides.library.columbia.edu/germanstudies
148,Getting Started,https://guides.library.columbia.edu/getting-started
149,GIS and Spatial Data,https://guides.library.columbia.edu/GIS
150,Graphic Novels,https://guides.library.columbia.edu/graphic-novels
151,"Guide to European and UK Libraries, Archives and Research Centers",https://guides.library.columbia.edu/historytheses
152,Hausa Language and Culture Acquisitions at Columbia,https://guides.library.columbia.edu/hausa-language
153,Hispanic New York,https://guides.library.columbia.edu/hispanic_nyc
154,HIST 3603: Jewish Immigration,https://guides.library.columbia.edu/HIST-W3603
155,HIST G6999: Modern German History,https://guides.library.columbia.edu/HIST-G6999
156,HIST W3304: Modern German History,https://guides.library.columbia.edu/HIST-W3304
157,HIST W4604: Jews and the City,https://guides.library.columbia.edu/HIST-3604
158,HISTG8300 : Interwar Internationalism Reconsidered,https://guides.library.columbia.edu/HIST-G8300
159,Historic Preservation,https://guides.library.columbia.edu/historic_preservation
160,Histories of Poverty in Africa,https://guides.library.columbia.edu/histories-of-poverty-in-Africa
161,Histories of Poverty in Africa (HIS UN3789),https://guides.library.columbia.edu/HIST-UN3789-001-2018-1
