name,location,price,country,type,likes,review,bookmark,discount_info
勝八居酒屋 Katsuhachi,銅鑼灣登龍街28號永光中心11樓,$201-400,日本菜,壽司/刺身,222.0,(244 食評),5046,提供網上訂座
Zenon Café,中環威靈頓街86號地舖,$51-100,西式,三文治,221.0,(284 食評),10736,訂座並惠顧任何食品可享全單7折優惠
平昌 Premium Pyeong Chang Premium,佐敦彌敦道219號莊士倫敦廣場5樓,$101-200,韓國菜,烤肉,189.0,(249 食評),15239,提供網上訂座
LA Creperie,銅鑼灣駱克道459-461號The L. Square 8樓,$101-200,法國菜,甜品/糖水,141.0,(202 食評),21692,訂座享晚市套餐餐牌85折優惠
Add Some Thai Restaurant,觀塘開源道62號駱駝漆大廈一座9樓D室,$101-200,泰國菜,包場派對,173.0,(237 食評),8678,送 25里數 / 30積分
Rang Mahal Authentic Indian Cuisine,中環皇后大道中118號2樓,$101-200,印度菜,印度菜,207.0,(239 食評),5314,訂座享8折優惠
The Grill Room,尖沙咀堪富利士道6-6A號爵寓2樓,$201-400,西式,扒房,175.0,(228 食評),11476,晚市六時入座享晚市套餐七折優惠
Give Me 5,觀塘鴻圖道90號5樓,$101-200,日本菜,海鮮,260.0,(301 食評),6648,送 25里數 / 30積分
大井町日式放題 Ooimachi Japanese Buffet,荃灣眾安街55號大鴻輝(荃灣)中心3樓,$201-400,日本菜,日式放題,235.0,(337 食評),16631,送 25里數 / 30積分
Dream Cafe,旺角砵蘭街215號朗晴坊5樓全層,$101-200,西式,薄餅,195.0,(238 食評),3278,送 25里數 / 30積分
Ocio,大圍積存街74-76號地下A舖,$101-200,多國菜,甜品/糖水,210.0,(287 食評),4435,晚市套餐優惠(9折)
養心殿台式養生鍋,荃灣眾安街55號大鴻輝(荃灣)中心17樓,$201-400,台灣菜,火鍋,163.0,(208 食評),13110,指定時段五折優惠 (需於晚上七點前離座)
尚鮮火鍋海鮮料理 Seansin Seafood Hotpot Experts,佐敦吳松街62-64 幸福商業大廈1樓,$201-400,港式,火鍋,191.0,(202 食評),4972,送 25里數 / 30積分
Bistronomique,西環爹核士街1號裕福大廈地下1號舖,$201-400,法國菜,西餐廳,205.0,(226 食評),9987,送 25里數 / 30積分
La Postre,上環永樂街50號昌盛大廈3樓,$201-400,西班牙菜,甜品/糖水,178.0,(216 食評),12546,全單9折
焱手工涮涮鍋 Yan Handcraft Hotpot,旺角彌敦道558-560號譽發廣場3樓,$201-400,台灣菜,火鍋,177.0,(215 食評),10141,[7:30pm前結賬離座]主菜單火鍋配料5折或套餐85折
Aqua,尖沙咀北京道1號29樓,$401-800,日本菜,海鮮,165.0,(307 食評),27250,送 25里數 / 30積分
大喜屋日本料理 Daikiya Japanese Restaurant,銅鑼灣軒尼詩道502號黃金廣場7樓,$201-400,日本菜,日式放題,216.0,(257 食評),12218,優惠時段只需$193起，適用於19：30前離座，21：15後入座，該優惠不得與其他優惠共用，加一以原價計算。
Rimi Cafe,旺角登打士街43H號登打士廣場20樓全層,$51-100,西式,樓上cafe,151.0,(190 食評),6416,任何時段 訂座可享95折優惠
E Molto Buono,銅鑼灣霎西街28號必發商業大廈2樓,$401-800,意大利菜,Fine Dining,195.0,(204 食評),6410,送 25里數 / 30積分
Siam 28,銅鑼灣軒尼詩道525號澳門逸園中心28樓,$101-200,泰國菜,海鮮,157.0,(185 食評),9281,"🍺啤酒, 紅白酒及有氣葡萄酒🍷《買一送一》"
稻八日式火鍋炸物放題 Inahachi Shabu Shabu,荃灣德海街18號富利達中心1樓,$101-200,日本菜,火鍋,237.0,(262 食評),7849,提供網上訂座
巧得鍋 How Awesome,觀塘成業街15-17號成運工業大廈1樓12-14舖,$201-400,港式,火鍋,141.0,(181 食評),8841,訂座享八五折優惠(需晚上9點後入座)
Sabor Spanish Touch Private Kitchen,上環永樂街1-3號世瑛大廈6樓601室,$201-400,西班牙菜,私房菜,237.0,(259 食評),8540,送 25里數 / 30積分
浜滝 Hamataki,九龍城福佬村道59號地下A舖,$201-400,日本菜,拉麵,190.0,(230 食評),5465,送 25里數 / 30積分
Barg,銅鑼灣耀華街3號百樂中心1樓,$201-400,意大利菜,適合大夥人,184.0,(216 食評),7389,送 25里數 / 30積分
Amici,中環士丹利街11號Stanley 11 8樓,$401-800,意大利菜,Fine Dining,146.0,(163 食評),7697,送 25里數 / 30積分
Spark Bar & Restaurant,中環蘭桂坊雲咸街29號LKF 29 4樓,$201-400,意大利菜,海鮮,170.0,(191 食評),8518,送 25里數 / 30積分
S2 鐵板燒 S2 Teppanyaki,佐敦偉晴街29-37號地下6號舖,$401-800,日本菜,鐵板燒,200.0,(210 食評),3883,送 25里數 / 30積分
