Name,Location,Price,Region,Style,Likes
城市匯 Urban Park,中環德輔道中173號南豐大廈2樓3-5號店,$201-400,荷蘭菜,荷蘭菜,35
星幕 Cielo,將軍澳唐德街3號香港九龍東皇冠假日酒店47樓,$101-200,西式,扒房,21
Sushi Sora,尖沙咀柯士甸路3號富好中心地舖,$401-800,美國菜,扒房,39
瀛豐放題料理專門店,銅鑼灣駱克道491-499號京都廣場10樓,$101-200,日本菜,壽司/刺身,54
蠔站 O S Plus,將軍澳唐德街9號將軍澳中心1樓163B舖,$201-400,泰國菜,壽司/刺身,24
湯•米 Soup And Rice,將軍澳唐賢街23號帝景灣商場1樓40號舖,$51-100,西式,海鮮,21
Papa Joe,尖沙咀諾士佛臺1號8樓,$201-400,台灣菜,粉麵/米線,8
Urban Café,旺角彌敦道566-568A號僑建大廈2樓,$50以下,多國菜,沙律,13
Dorsett Café,葵涌健全街28號地舖,$101-200,多國菜,果汁,8
嚐味 Gusto Restaurant,荃灣青山公路荃灣段398號愉景新城2樓L2-2030號舖,$51-100,西式,西式,8
酒廊 The Lounge,赤鱲角香港國際機場航天城東路1號香港天際萬豪酒店大堂,$101-200,港式,粉麵/米線,8
心越 Le Viet’s,元朗錦田高埔村108號天空之城第10座地下,$51-100,西式,酒吧,1
Go Inside Kitchen,觀塘觀塘道404號時運工業大廈5樓D室,$101-200,日本菜,日式放題,275
億饍 Multi Taste,旺角彌敦道558-560號譽發廣場4樓,$101-200,意大利菜,西式,277
泰聚 Thai Gather Restaurant & Bar,太子花園街239號嘉慶苑地下,$101-200,粵菜 (廣東),湯品,233
巧得鍋 How Awesome,觀塘成業街15-17號成運工業大廈1樓12-14舖,$201-400,泰國菜,咖喱,141
原の味 Naked,尖沙咀麼地道61號冠華中心地下G1號舖,$201-400,港式,火鍋,147
BOM Cuisine,長沙灣青山道441號地舖,$51-100,日本菜,壽司/刺身,119
Cafe R&C,銅鑼灣希雲街22-24號地舖,$101-200,葡國菜,酒,98
