,title,like,location,price,country,style,review,bookmark,discount
21,漁民麵館 Fisherman,48.0,元朗擊壤路9號金寶大廈4號地舖,$50以下,粵菜 (廣東),粉麵/米線,(97 食評),3801,
22,點饌 Dum Sum Deluxe,52.0,沙田石門安群街3號京瑞廣場1期2樓237號舖,$51-100,粵菜 (廣東),點心,(70 食評),1844,
23,Drink氣鍋,57.0,火炭坳背灣街38-40號華衛工業中心地下4號G舖,$201-400,粵菜 (廣東),火鍋,(62 食評),566,
24,大鍋口海鮮火鍋店 Giant Seafood Hot Pot,72.0,荃灣眾安街55號大鴻輝(荃灣)中心16樓全層,$101-200,火鍋,潮州菜,(140 食評),7545,
25,囍慶酒樓 Happiness Cuisine,66.0,沙田白石角香港科學園1期科技大道西1號核心大樓2座2樓S101-S106號舖,$101-200,粵菜 (廣東),點心,(106 食評),923,惠顧晚膳滿港幣500元可享9折
26,全記點心專門店,63.0,荃灣兆和街16號地舖,$51-100,粵菜 (廣東),點心,(84 食評),1749,
27,生昌潮州海鮮酒家,102.0,大圍下徑口村151號地下 (田心警署對面),$101-200,潮州菜,海鮮酒家,(170 食評),4828,
28,龍華酒店 Lung Wah Hotel,126.0,沙田下禾輋村22號,$101-200,粵菜 (廣東),燒臘,(342 食評),5240,
29,全記海鮮菜館 Chuen Kee Seafood Restaurant,116.0,西貢萬年街87-89號地下,$201-400,粵菜 (廣東),海鮮,(233 食評),2828,
30,彩福皇宴 Choi Fook Royal Banquet,35.0,沙田石門安群街3號京瑞廣場一期3樓,$101-200,粵菜 (廣東),海鮮,(55 食評),1497,
31,紫粵軒 Tze Yuet Heen,50.0,將軍澳唐德街3號香港九龍東皇冠假日酒店2樓,$201-400,粵菜 (廣東),火鍋,(82 食評),3878,提供網上訂座
32,新斗記 Xin Dau Ji,45.0,荃灣大壩街4-30號荃灣廣場6樓615-620號舖,$201-400,粵菜 (廣東),燒臘,(82 食評),1383,
33,方姐湛江雞,28.0,元朗裕榮徑11號好旺洋樓地下13-15號鋪,$51-100,潮州菜,粵菜 (廣東),(30 食評),676,
34,端記茶樓 Duen Kee Chinese Restaurant,79.0,荃灣荃錦公路川龍村57-58號,$50以下,粵菜 (廣東),點心,(167 食評),3875,
35,好湯好麵 Hao Tang Hao Mian,29.0,大圍積存街20號地舖,$51-100,粵菜 (廣東),粉麵/米線,(42 食評),2928,
36,囍慶 Happiness Cuisine,33.0,大圍車公廟道69號顯徑商場A翼3樓301A號舖,$101-200,粵菜 (廣東),點心,(43 食評),199,
37,一哥點心 Yat Gor Dim Sum,33.0,元朗教育路89號鴻發大廈地舖,$51-100,粵菜 (廣東),點心,(57 食評),1209,
38,砂煲兄弟 Casserole Buddies,35.0,將軍澳重華路8號東港城1樓101號舖,$51-100,粵菜 (廣東),中菜館,(45 食評),818,
39,半島漁港/阿翁火鍋館 Peninsula Cuisine / Ah Yung Hotpot Cuisine,28.0,荃灣眾安街68號荃灣千色匯1期6樓,$101-200,粵菜 (廣東),火鍋,(36 食評),658,
40,彩龍茶樓 Choi Lung Restaurant,97.0,荃灣荃錦公路川龍村2號,$51-100,粵菜 (廣東),點心,(168 食評),3111,
41,鳳城皇宴 Fung Shing Restaurant,27.0,屯門海珠路2號地下1-3號舖,$51-100,粵菜 (廣東),燒臘,(30 食評),288,
42,利苑酒家 Lei Garden,74.0,沙田沙田正街18號新城市廣場一期6樓628 &631,$201-400,粵菜 (廣東),點心,(130 食評),2468,
43,六福菜館 Loaf On,97.0,西貢市場街49號地舖,$201-400,粵菜 (廣東),海鮮,(129 食評),4721,
44,殷悅 YinYue,50.0,荃灣荃華街3號悅來酒店30樓,$101-200,粵菜 (廣東),點心,(97 食評),2437,指定套餐半價；自選餐牌85折
45,八月 Jasmine Garden,40.0,屯門屯門鄉事會路83號V City商場MTR層M-50號舖,$101-200,粵菜 (廣東),點心,(88 食評),1576,
46,建榮特色桑拿菜火鍋店,31.0,屯門建榮街32號建榮熟食市場地下C6號舖,$101-200,粵菜 (廣東),火鍋,(33 食評),192,
47,彩福皇宴 Choi Fook Royal Banquet,28.0,荃灣眾安街55號大鴻輝(荃灣)中心6樓,$101-200,粵菜 (廣東),海鮮,(34 食評),720,
48,利小館 Lei Bistro,45.0,屯門屯門鄉事會路83號V City商場MTR層37號舖,$101-200,粵菜 (廣東),海鮮,(97 食評),1128,
49,粵 YUE,40.0,屯門青山公路1號香港黃金海岸酒店低層地下,$201-400,粵菜 (廣東),點心,(71 食評),1504,自選餐牌食品85折（星期一至五；指定日子不適用）
50,文記火鍋 Man Kee Catering,23.0,大圍積信街69-75號立和樓地下B舖,$101-200,粵菜 (廣東),火鍋,(33 食評),1160,9折
