,title,like,location,price,country,style,review,bookmark,discount
8783,MX,7.0,上環干諾道中168-200號信德中心2樓268號舖,$50以下,港式,快餐店,(34 食評),33,
8784,咪咪茶餐廳 May May Restaurant,10.0,上環文咸東街44號,$50以下,港式,茶餐廳/冰室,(16 食評),244,
8785,匯一小廚,19.0,上環蘇杭街91號地下,$51-100,港式,中式包點,(31 食評),412,
8786,蘇杭餐廳 Jervois Restaurant,3.0,上環蘇杭街2號,$50以下,港式,港式,(13 食評),175,
8787,蓮香老餅家,5.0,上環威靈頓街160號地下,$50以下,港式,麵包店,(6 食評),115,
8788,陳全利,7.0,上環皇后大道中345號上環市政大廈2樓熟食中心CF15號舖,$50以下,港式,粥品,(12 食評),192,
8789,嘉豪酒家 Ka Ho Restaurant,11.0,上環皇后大道中328號中源廣場UG層,$101-200,港式,酒樓,(29 食評),249,
8790,有運燒味飯店 Lucky BBQ Restaurant,6.0,上環皇后大道中378號福陞大廈地下,$50以下,港式,燒臘,(13 食評),177,
8791,喜利餅店 Hei Lee Cakes Shop,12.0,上環禧利街3 號地下,$50以下,港式,麵包店,(17 食評),223,
8792,奇華餅家 Kee Wah Bakery,2.0,上環干諾道中168-200號信德中心3樓313號舖,$50以下,港式,麵包店,(3 食評),25,
8793,大家樂 Café de Coral,9.0,上環皇后大道中181號新紀元廣場低座2樓208-214號舖,$50以下,港式,無肉餐單,(23 食評),74,2018 Party 100美食9折
8794,源興茶檔,5.0,上環皇后大道中345號上環市政大廈2樓熟食中心CF22號舖,$50以下,港式,熟食中心,(11 食評),125,
8795,添添香港仔魚蛋王,2.0,上環蘇杭街96號地舖,$50以下,港式,粉麵/米線,(2 食評),29,
8796,李煥糖心皮蛋,5.0,上環永樂街118號昌生商業大廈地下B舖,$50以下,港式,港式,(9 食評),724,
8797,德釗記茶餐廳 Tak Chiu Kee Restaurant,6.0,上環蘇杭街78號太興中心二座地下,$50以下,港式,茶餐廳/冰室,(19 食評),111,
8798,佳記粉麵茶餐廳 Kai Kee Noodle Restaurant,15.0,上環蘇杭街94號地下,$50以下,港式,粉麵/米線,(28 食評),159,
8799,郁健快餐 Yuk Kin Fast Food,5.0,上環太平山街6號寶雲樓地下A舖,$50以下,港式,快餐店,(9 食評),433,
8800,WINK,4.0,上環文咸東街79號地舖,$101-200,港式,酒吧,(6 食評),63,
8801,大快活 Fairwood,5.0,上環干諾道中73號中保集團大廈地庫及地下,$50以下,港式,快餐店,(9 食評),55,
8802,美心西餅 Maxim's Cake Shop,8.0,上環干諾道中168-200號信德中心2樓266號舖,$50以下,港式,麵包店,(14 食評),69,
8803,酸辣格格 Kar Kar,,上環蘇坑街19-25號永昌商業大廈地下B鋪,$51-100,港式,粉麵/米線,(6 食評),187,
8804,順興行,1.0,上環蘇杭街98號地舖,$50以下,港式,小食店,(1 食評),232,
8805,中國龍 China Dragon Arts,8.0,上環皇后大道中283號聯威商業中心地下A舖,$50以下,港式,小食店,(8 食評),183,
8806,景記咖啡 Kin Kee Coffee,17.0,上環皇后大道中345號上環市政大廈2樓熟食中心CF6號舖,$50以下,港式,港式,(25 食評),231,
8807,原味家作 Original Taste Workshop,,上環干諾道中168-200號信德中心2樓201號舖,$50以下,港式,湯品,(3 食評),51,增值滿$500可獲贈$25原味家作現金劵乙張
8808,永吉果汁店,3.0,上環文咸東街98號地下D舖,$50以下,港式,台式飲品,(4 食評),21,
8809,龍記燒味茶餐廳 Lung Kee Restaurant,,上環德輔道中300號華傑商業中心地舖,$101-200,港式,燒臘,(6 食評),115,
8810,緣緣堂 Yuan Yuan Tang,2.0,上環太平山街4號地舖,$101-200,港式,茶館,(2 食評),52,
8811,好運來餐廳,5.0,上環干諾道西28號威勝商業大廈地下13-14號舖,$50以下,港式,茶餐廳/冰室,(6 食評),48,
8812,永欣茶餐廳,1.0,上環孖沙街2號地下,$50以下,港式,茶餐廳/冰室,(1 食評),35,
8813,香港仔一品魚蛋王,1.0,上環皇后大道西22號,$50以下,港式,粉麵/米線,(2 食評),19,
8814,健康工房 HealthWorks,1.0,上環上環德輔道中199號無限極廣場地下 G11號舖,$50以下,港式,涼茶/龜苓膏,(1 食評),18,
8815,綠島茶餐廳小廚 Green Island Restaurant,5.0,上環水坑口街16A地下,$50以下,港式,茶餐廳/冰室,(14 食評),92,
8816,車仔麵世家,14.0,上環蘇杭街82號地下,$50以下,車仔麵,港式,(18 食評),298,
8817,Bubble Green,,上環蘇杭街109號地舖,$50以下,港式,三文治,(3 食評),64,
8818,鮮D飲食工房,1.0,上環蘇杭街138號地下B號舖,$50以下,港式,港式,(1 食評),7,
8819,米倉蒸飯館,2.0,上環干諾道中168-200號信德中心3樓澳門廣場3026號舖,$50以下,港式,茶餐廳/冰室,(7 食評),95,
8820,MX,,上環德輔道中308號富衛金融中心地下10-13號舖,$50以下,港式,快餐店,(8 食評),45,
8821,大家樂 Café de Coral,,上環德輔道中199號無限極廣場1樓108號舖,$50以下,港式,無肉餐單,(15 食評),69,2018 Party 100美食9折
8822,星星小菜,3.0,上環皇后大道中345號上環市政大廈2樓熟食中心,$50以下,港式,點心,(7 食評),86,
8823,美心西餅 Maxim's Cake Shop,1.0,上環港鐵上環站SHW8號舖,$50以下,港式,麵包店,(1 食評),6,
8824,式飲式食 Food Station,6.0,上環皇后大道中345號上環市政大廈2樓熟食中心C14號舖,$50以下,港式,茶餐廳/冰室,(12 食評),68,
8825,凱施餅店,,上環永樂街87號泰達大廈地舖,$50以下,港式,麵包店,(1 食評),24,
8826,金源餐廳,,上環水坑口街14號地下,$50以下,港式,茶餐廳/冰室,(2 食評),15,
8827,揀得啱車仔麵 Good Pick Noodles,2.0,上環皇后大道中181號新紀元廣場低座2樓205號舖,$51-100,車仔麵,港式,(6 食評),67,
8828,君蘭餅店 Orchid Padaria,2.0,上環港鐵上環站 SHW 2 舖,$50以下,港式,麵包店,(5 食評),21,
8829,快活美食茶餐廳 Finewood Fastfood Restaurant,,上環蘇杭街102號地下,$50以下,港式,外賣店,(10 食評),43,
8830,蓮香老餅家,2.0,上環德輔道西50號地下,$50以下,港式,麵包店,(2 食評),38,
8831,新成館 San Shing Food Shop,,上環永樂街,$50以下,港式,小食店,(4 食評),24,
8832,紫竹軒,2.0,上環永樂街,$50以下,港式,小食店,(2 食評),11,
8833,恒興行家嫂廚房 Hang Hing Company,2.0,上環高陞街19號地下,$101-200,港式,山珍海味,(2 食評),59,
8834,利豐肉食海產公司 Lee Fung Meat & Seafood,1.0,上環蘇杭街120-122號地下,$51-100,港式,海鮮,(1 食評),77,
8835,麥銳記大眾福食,2.0,上環皇后大道中345號上環市政大廈2樓熟食中心CF13號舖,$50以下,港式,熟食中心,(2 食評),16,
8836,多多吃站-阿媽靚餸 Dor Dor Eatery Station,4.0,上環永樂街87號泰達大廈地下2號舖,$50以下,港式,湯品,(7 食評),96,
8837,許留山 Hui Lau Shan,2.0,上環干諾道中168-200號信德中心2樓202號舖,$50以下,港式,甜品/糖水,(7 食評),143,
8838,大快活 Fairwood,1.0,上環文咸東街50號寶恆商業中心地下1&3舖,$50以下,港式,快餐店,(4 食評),39,
8839,大眾伙食,,上環皇后大道中345號上環市政大廈及文娛中心2樓CF13號舖,$50以下,港式,熟食中心,,9,
8840,龍鳳冰室 Lung Fung Cafe,3.0,上環蘇杭街100號地舖,$50以下,港式,茶餐廳/冰室,(8 食評),61,
8841,多多吃站-鹵味牛什王 Dor Dor Eatery Station,,上環永樂街87號泰達大廈地下2號舖,$50以下,港式,港式,(4 食評),36,
8842,多寶樂茶餐廳,6.0,上環永樂街16號地下,$50以下,港式,茶餐廳/冰室,(22 食評),107,
8843,永和快餐小食店,10.0,上環永和街11號地下,$50以下,港式,港式,(17 食評),34,
8844,知味閣 G May Court,,上環皇后大道西2-12號聯發商業大厦1樓A2舖,$50以下,港式,茶餐廳/冰室,,12,
8845,源品雞煲 YP Chicken Pot Premium,,上環干諾道西70-72號金祐商業大廈地下A舖,$401-800,港式,火鍋,(1 食評),58,
8846,菁雲 J's Garden,,上環蘇杭街58號地舖,$51-100,港式,港式,,5,
8847,苒鮮果果汁店 Yim's Fruit Juice Store,,上環德輔道西60-64號地下B號舖,$50以下,港式,果汁,(1 食評),11,
8848,喜利餅店 Hei Lee Bakery,,上環文咸東街144號地舖,$50以下,港式,麵包店,,7,
8849,恒昌隆燕窩參茸行 Hang Cheong Loong Bird's Nest & Ginseng Company,,上環永樂街62號地舖,$50以下,港式,港式,,7,
8850,太平洋雪茄有限公司,,上環干諾道中148號粵海投資大廈16樓,$201-400,港式,酒,,15,
8851,新平記快餐店,,上環永樂街148號南和行大廈地下後座4號舖,$50以下,港式,燒臘,,14,
8852,雅之鮮菓,,上環皇后大道中288號地舖,$50以下,港式,台式飲品,,7,
8853,林奇苑茶行有限公司,,上環文咸東街105-107號地下,$101-200,港式,港式,,12,惠顧正價貨品滿港幣200元可享9折
8854,上環食堂茶餐廳 Sheung Wan Canteen & Cafe (已搬遷),11.0,上環畢街3號地舖,$50以下,港式,茶餐廳/冰室,(12 食評),531,
8855,順興行 (已搬遷),14.0,上環永樂街61號地下,$50以下,港式,小食店,(22 食評),415,
8856,咪咪茶餐廳 May May Restaurant (已搬遷),23.0,上環永樂街8號地下,$50以下,港式,茶餐廳/冰室,(35 食評),90,
8857,美心西餅 Maxim's Cake Shop (已搬遷),10.0,上環港鐵上環站SHW 6號舖,$50以下,港式,麵包店,(35 食評),19,
8858,金太陽美食快餐 Gold Sun Good Fast Food (已搬遷),7.0,上環永樂街115號地下,$50以下,港式,粉麵/米線,(14 食評),26,
8859,永吉果汁店 (已搬遷),,上環德輔道中168號永和街,$50以下,港式,台式飲品,(2 食評),2,
8860,優之良品 Aji Ichiban (已搬遷),,上環干諾道中168-200號信德中心3樓322號舖,$50以下,港式,小食店,,2,
8861,恋 AMUR (裝修中),,上環蘇杭街26號地舖,$101-200,港式,港式,,9,
8862,南北小聚 Chef Kitchen,21.0,上環干諾道中138號地下,$101-200,粵菜 (廣東),川菜 (四川),(38 食評),1055,
8863,好客山東 Ho Hak Shan Tung,27.0,上環畢街17號地下,$50以下,鲁菜 (山東),雲吞/餃子,(49 食評),2342,
8864,聯興潮州飯店,15.0,上環皇后大道中345號上環市政大廈2樓熟食中心 CF2,$101-200,潮州菜,熟食中心,(25 食評),769,
8865,會所1號 大舞臺 ClubONE The Grand Stage,27.0,上環德輔道中323號西港城2樓,$101-200,粵菜 (廣東),點心,(60 食評),791,午膳自選餐牌9折
8866,糖心軒,11.0,上環德輔道西28號宜必思酒店2樓,$101-200,粵菜 (廣東),海鮮酒家,(16 食評),542,
8867,正宗雲貴川 Zheng Zong Yun Gui Chuan,10.0,上環蘇杭街123號地舖,$50以下,川菜 (四川),粉麵/米線,(31 食評),515,
8868,蛇王林 She Wong Lam,28.0,上環禧利街13號地下,$50以下,粵菜 (廣東),湯品,(31 食評),1154,
8869,香港潮州商會會員俱樂部,25.0,上環德輔道西81-85號1樓,$201-400,中菜館,潮州菜,(27 食評),808,
8870,陳春記,39.0,上環皇后街1號5號舖,$51-100,中菜館,潮州菜,(64 食評),826,
8871,海港酒家 Victoria Harbour Restaurant,5.0,上環新街市街8號康威花園地下,$51-100,粵菜 (廣東),點心,(13 食評),632,
8872,老北方餃子館,29.0,上環皇后街熟食中心CF11,$50以下,東北菜,雲吞/餃子,(39 食評),1247,
8873,雲記美食,4.0,上環皇后大道中305-313號永業中心地下B2舖,$50以下,京川滬,粉麵/米線,(8 食評),353,
8874,橋香園雲南過橋小鍋米線,6.0,上環永樂街79號地舖,$50以下,滇菜 (雲南),粉麵/米線,(20 食評),356,
8875,江蘇薈 Jiang Su,2.0,上環干諾道中130-136號誠信大廈2樓,$101-200,江浙菜,中菜館,(5 食評),942,
8876,京香閣 Beijing House,6.0,上環德輔道中199號無限極廣場2樓,$201-400,京川滬,山珍海味,(12 食評),778,自選餐牌9折
8877,粉色記憶 Memory Of Spicy,11.0,上環干諾道中168-200號信德中心3樓澳門廣場3052-53號舖,$50以下,川菜 (四川),粉麵/米線,(20 食評),310,
8878,好彩 Ho Choi Seafood Restaurant,16.0,上環德輔道中287-291 號急庇利街口,$101-200,粵菜 (廣東),海鮮,(35 食評),731,
8879,皇后米線,4.0,上環皇后大道中370號地舖,$50以下,滇菜 (雲南),客家菜,(16 食評),123,
8880,上環食堂 Sheung Wan Canteen,3.0,上環皇后大道中222-226號啟煌商業大廈地下,$50以下,粵菜 (廣東),茶餐廳/冰室,(6 食評),373,
8881,北園酒家 North Garden Restaurant,4.0,上環安泰街7號康威花園1樓,$101-200,粵菜 (廣東),點心,(11 食評),432,
8882,富臨粵之味 Fulum,12.0,上環皇后大道西2-12號聯發商業中心2樓,$101-200,粵菜 (廣東),點心,(39 食評),374,
8883,川棧 Sichuan hut,3.0,上環蘇杭街121號地舖,$51-100,川菜 (四川),川菜 (四川),(3 食評),126,
8884,西香記 Chang'An Taste,2.0,上環皇后大道中340號華秦國際大廈地下1號舖,$50以下,陝菜 (陝西),快餐店,(8 食評),309,
8885,MAN MO DIM SUM,3.0,上環摩羅上街40號地鋪,$201-400,粵菜 (廣東),點心,(4 食評),275,
8886,嘉豪酒家 Ka Ho Restaurant,11.0,上環皇后大道中328號中源廣場UG層,$101-200,粵菜 (廣東),酒樓,(29 食評),249,
8887,贏麵,2.0,上環蘇杭街10號啟豐大廈地下4號舖,$51-100,川菜 (四川),粉麵/米線,(10 食評),431,
8888,成隆行,7.0,上環永樂街120號地下,$51-100,滬菜 (上海),大閘蟹,(8 食評),257,
8889,西苑酒家 West Villa Restaurant,21.0,上環文咸東街 16-20 號地下,$201-400,粵菜 (廣東),點心,(40 食評),887,
8890,厚興瑜記手撕雞,2.0,上環皇后大道中328號G53地舖,$50以下,粵菜 (廣東),粵菜 (廣東),(9 食評),234,
8891,黃金閣 - 澳門賽馬會會員會所 Macau Jockey Club Members' Club House,7.0,上環干諾道中168-200號信德中心104A-B號舖,$201-400,粵菜 (廣東),海鮮,(9 食評),271,
8892,喜月 - 澳門賽馬會會員會所 Full Moon - Macau Jockey Club Members' Club House,5.0,"上環干諾道中168-200號信德中心301A, 302A-B & 303A號舖",$101-200,滬菜 (上海),會所,(5 食評),183,
8893,龍記燒味茶餐廳 Lung Kee Restaurant,,上環德輔道中300號華傑商業中心地舖,$101-200,粵菜 (廣東),燒臘,(6 食評),115,
8894,雀盟會 Leading Memember Club,2.0,上環永樂街154-158號永生大廈1樓,$50以下,粵菜 (廣東),火鍋,(5 食評),189,
8895,金潮閣 - 澳門賽馬會會員會所 Macau Jockey Club Members' Club House,2.0,"上環干諾道中168-200號信德中心301A, 302A-B & 303A號舖",$201-400,中菜館,潮州菜,(3 食評),198,
8896,明記飯店,2.0,上環皇后大道中345號上環市政大廈2樓熟食中心CF8號舖,$51-100,粵菜 (廣東),點心,(3 食評),86,
8897,揀得啱車仔麵 Good Pick Noodles,2.0,上環皇后大道中181號新紀元廣場低座2樓205號舖,$51-100,粵菜 (廣東),車仔麵,(6 食評),67,
8898,明記上海美點,2.0,上環皇后大道中378號福陞閣14號舖,$50以下,滬菜 (上海),雲吞/餃子,(6 食評),63,
8899,鴻福堂 Hung Fook Tong,,上環港鐵上環站3號舖,$50以下,粵菜 (廣東),涼茶/龜苓膏,(1 食評),25,
8900,百姓飯店 Pak Singre Restaurant,1.0,上環皇后大道中345號上環市政大廈2樓熟食中心CF3號舖,$51-100,潮州菜,熟食中心,(1 食評),20,
8901,大眾伙食,,上環皇后大道中345號上環市政大廈及文娛中心2樓CF13號舖,$50以下,粵菜 (廣東),熟食中心,,9,
8902,上海同順興(香港)公司,,上環干諾道西68號地舖,$50以下,滬菜 (上海),京川滬,,7,
8903,盞記 First Edible Nest,,上環干諾道西38號達隆中心地舖,$101-200,粵菜 (廣東),甜品/糖水,,7,
8904,廣合燒臘公司,,上環荷李活道240號地下,$51-100,粵菜 (廣東),燒臘,,38,
8905,上環食堂茶餐廳 Sheung Wan Canteen & Cafe (已搬遷),11.0,上環畢街3號地舖,$50以下,粵菜 (廣東),茶餐廳/冰室,(12 食評),531,
8906,公館 (已搬遷),13.0,上環德輔道中279號豐和大厦12樓,$201-400,滬菜 (上海),私房菜,(15 食評),1271,
8907,永合成餐廳餅店 Wing Hop Sing Restaurant (已搬遷),84.0,上環蘇杭街113-115號地下,$50以下,粵菜 (廣東),麵包店,(137 食評),2193,
8908,鳳城酒家 Fung Shing Restaurant (已搬遷),38.0,上環安泰街7號康威花園地下,$101-200,粵菜 (廣東),順德菜,(77 食評),321,
8909,聚點坊點心專門店 Dim Sum Square (已搬遷),59.0,上環蘇杭街88號地下,$50以下,粵菜 (廣東),點心,(82 食評),849,
8910,桃花源 Tim's Kitchen (已搬遷),30.0,上環蘇杭街93號地下,$801以上,粵菜 (廣東),海鮮,(48 食評),224,
8911,上海匯一小廚 Wa Yat Shanghai Restaurant (已搬遷),7.0,上環蘇杭街104 號秀平商業大廈地下,$50以下,滬菜 (上海),粉麵/米線,(19 食評),32,
8912,老地坊小館 Old Place (已搬遷),7.0,上環干諾道中128號豫泰商業大廈地下,$50以下,京川滬,粉麵/米線,(15 食評),33,
8913,陳勤記 (已搬遷),7.0,上環皇后街一號皇后街熟食市場五號檔,$50以下,潮州菜,大牌檔,(8 食評),11,
8914,金舫會所(香港海關高級官員會所) Cessom (已搬遷),15.0,上環林士街2停車場大廈9樓,$51-100,粵菜 (廣東),中菜館,(33 食評),66,
8915,上海同順興(香港)公司 (已搬遷),,上環干諾道西98號地下,$50以下,京川滬,京川滬,,30,
8916,皇后米線,4.0,上環皇后大道中370號地舖,$50以下,客家菜,粉麵/米線,(16 食評),123,
8917,天秀 Tenshu Tempura & Sashimi Restaurant,36.0,上環九如坊6-10林氏大廈地下A舖,$401-800,日本菜,廚師發辦,(41 食評),2304,
8918,元気寿司 Genki Sushi,41.0,上環干諾道中168-200號信德中心2樓241號舖,$101-200,日本菜,壽司/刺身,(71 食評),514,
8919,Yardbird,5.0,上環永樂街154-158號地下,$401-800,日本菜,日本菜,(9 食評),3000,
8920,海膽屋 Uniya,21.0,上環永樂街28-34號東成商業大廈地下A舖,$50以下,日本菜,壽司/刺身,(41 食評),1718,
8921,海 UMI on Hollywood Road,12.0,上環荷李活道159號地下3號舖,$801以上,日本菜,壽司/刺身,(19 食評),2383,
8922,白熊咖哩 Shirokuma Curry,20.0,上環干諾道中168-200號信德中心2樓228-230號舖,$51-100,日本菜,咖喱,(66 食評),573,
8923,鮨政 Sushi Masa,10.0,上環蘇杭街105號地下,$101-200,日本菜,壽司/刺身,(25 食評),1523,
8924,MOS Cafe,8.0,上環皇后大道中338號338 Apartment地舖,$50以下,日本菜,漢堡包,(16 食評),268,
8925,華御結 Hana-Musubi,10.0,上環干諾道中168-200號信德中心2樓231D號舖,$50以下,日本菜,壽司/刺身,(16 食評),184,
8926,魚珈旨 UOGASHI SUSHI,9.0,上環太平山街32號地下A號舖,$201-400,日本菜,壽司/刺身,(10 食評),718,
8927,UCC Ferie,18.0,上環皇后大道中181號新紀元廣場低座2樓206-7號舖,$101-200,日本菜,咖啡店,(42 食評),511,
8928,禪食堂 Zen Eat Cuisine,4.0,上環永樂街1-3號世瑛大廈5樓503室,$101-200,日本菜,素食,(7 食評),1281,
8929,華御結 Hana-Musubi,16.0,上環皇后大道中181號新紀元廣場2樓204號舖,$50以下,日本菜,壽司/刺身,(27 食評),366,
8930,樂水亭 Rakusuitei,8.0,上環永樂街1-3號世瑛大廈13樓1301號舖,$51-100,日本菜,雪糕/乳酪,(14 食評),457,
8931,鈴木珈啡館 Suzuki Cafe Company,31.0,上環德輔道中199號無限極廣場1樓103-105號舖,$51-100,日本菜,台式飲品,(96 食評),1344,
8932,鮨わだつみ Sushi Wadatsumi,4.0,上環皇后大道中181號新紀元廣場低座2樓201號舖,$801以上,日本菜,壽司/刺身,(8 食評),1850,
8933,日の苑日式外賣專門店 NINOEN Japanese Take-Away Shop,21.0,上環皇后大道中346-348號金煌行地下C舖,$50以下,日本菜,咖喱,(30 食評),573,
8934,ShaKiYauHo,10.0,上環禧利街27號富輝商業中心地下D舖,$51-100,日本菜,壽司/刺身,(14 食評),296,
8935,吉野家 Yoshinoya,4.0,上環干諾道中168-200號信德中心3樓322號舖,$51-100,日本菜,快餐店,(16 食評),108,
8936,尚前刺身壽司 Shou Zen Sushi,2.0,上環皇后大道中368號偉利大廈地下3號舖,$50以下,日本菜,壽司/刺身,(7 食評),118,
8937,一品屋 Taste House,1.0,上環禧利街31號地下1A舖,$51-100,日本菜,日式西餐,(2 食評),48,
8938,Oyster Corner,1.0,上環上環干諾道中168-200號信德中心3樓澳門廣場3051號舖,$50以下,日本菜,拉麵,(1 食評),115,
8939,果樹園 Fruit Tree Garden,1.0,上環樂古道A-C號地舖,$50以下,日本菜,日本菜,(2 食評),36,
8940,家和熟燒 KAWO NAGOMI,10.0,上環皇后大道中345號上環市政大廈2樓熟食中心 CF7號舖,$51-100,日本菜,拉麵,(19 食評),513,
8941,喜駿日本料理 - 澳門賽馬會會員會所 Yorokobu Japanese Restaurant,2.0,"上環干諾道中168-200號信德中心301A, 302A-B & 303A號舖",$201-400,日本菜,會所,(6 食評),129,
8942,函館元祖北海道拉麵 Hakodate Japanese Restaurant,7.0,上環禧利街15號地舖,$101-200,日本菜,拉麵,(20 食評),321,
8943,山崎麵飽 Yamazaki Bakery,10.0,"上環香港 上環德輔道中272 -284, 興業大廈地下C 舖",$50以下,日本菜,麵包店,(16 食評),48,
8944,無敵家 Mutekiya,22.0,上環孖沙街9號地下,$51-100,日本菜,拉麵,(56 食評),965,
8945,Luna Cafe,,上環蘇杭街26號地下,$51-100,日本菜,西式糕點,,0,
8946,侘寂珈琲 Wabi Sabi Coffee,,上環磅巷4號地下,$51-100,日本菜,咖啡店,,13,
8947,Yardbird (已搬遷),31.0,上環必列者士街33-35號,$401-800,日本菜,日本菜,(50 食評),5450,
8948,298 Nikuya Kitchen (已搬遷),11.0,上環禧利街15號地下,$201-400,日本菜,烤肉,(13 食評),896,
8949,香茶房 Kaorisabo (已搬遷),7.0,上環文咸東街51號1樓,$50以下,日本菜,雪糕/乳酪,(8 食評),212,
8950,鈴木珈啡館 Suzuki Cafe Company (已搬遷),13.0,上環德輔道中199號維德廣場地下G07-08號舖,$51-100,日本菜,無肉餐單,(38 食評),34,
8951,海南雞公主 Thai Princess by Maya Kitchen,32.0,上環摩利臣街10號宏基商業大廈地下8A號舖,$51-100,泰國菜,泰國菜,(34 食評),861,
8952,榮華南洋冰室 Wing Wah Southeast Asia Cafe,19.0,上環差館上街1A號地下,$50以下,泰國菜,茶餐廳/冰室,(24 食評),1192,
8953,越泰 Viet Thai,56.0,上環干諾道中128號豫泰商業大廈地下,$51-100,越南菜,泰國菜,(95 食評),2647,
8954,Bun Cha Vietnamese,23.0,上環蘇豪鴨巴甸街41-49號金豪大廈地下1號舖,$101-200,越南菜,粉麵/米線,(36 食評),3978,
8955,榮華南洋冰室 Wing Wah Southeast Asia Cafe,19.0,上環差館上街1A號地下,$50以下,泰國菜,新加坡菜,(24 食評),1192,
8956,越蘆越南牛肉粉,24.0,上環皇后大道西2-12號聯發商業中心地下B舖,$51-100,越南菜,粉麵/米線,(35 食評),713,
8957,印度皇 Basmati (Taste of India),56.0,上環干諾道中137-139號三台商業大廈1樓,$51-100,印度菜,尼泊爾菜,(97 食評),1454,送 25里數 / 30積分
8958,加東叻沙蝦麵 Katong Laksa Prawn Mee,52.0,上環孖沙街8號地下,$51-100,新加坡菜,粉麵/米線,(132 食評),2360,
8959,Serendib,14.0,上環永樂街148號南和行大廈地下2號舖,$51-100,斯里蘭卡菜,咖喱,(18 食評),489,
8960,上林茶舍 Green Ginkgo Tea,7.0,上環太平山街1號地下1A號舖,$51-100,日本菜,茶館,(8 食評),828,
8961,Chautari Restaurant,15.0,上環皇后街1號熟食市場1樓CF6號舖,$50以下,印度菜,印度菜,(22 食評),583,
8962,小河內 Little Hanoi,6.0,上環永吉街28-34號永吉利商業大廈地下D舖,$51-100,越南菜,越南菜,(20 食評),467,
8963,明谷 MINH & KOK,7.0,上環干諾道中168-200號信德中心2樓278號號舖,$51-100,越南菜,泰國菜,(18 食評),531,
8964,Central Indian Restaurant,11.0,上環永樂街1-3號世瑛大廈1樓101室,$51-100,印度菜,咖喱,(16 食評),451,
8965,東南亞特色美食 Southeast Asia Deli,6.0,上環干諾道中168-200號信德中心3樓澳門廣場3019號舖,$50以下,越南菜,新加坡菜,(22 食評),241,
8966,海南餐廳 Hainan Restaurant,14.0,上環干諾道中130-131號誠信大廈地下,$50以下,新加坡菜,咖喱,(35 食評),345,
8967,Viet Dating,2.0,上環永樂街87號泰達大廈地下4號舖,$50以下,越南菜,三文治,(3 食評),50,
8968,味千拉麵 Ajisen Ramen,11.0,上環干諾道中168-200號信德中心2樓231B號舖,$51-100,日本菜,拉麵,(36 食評),112,
8969,泰越南 Thai & Vietnam Cusine,7.0,上環皇后街1號皇后街熟食市場CF4舖,$50以下,越南菜,泰國菜,(19 食評),189,
8970,土司工坊 Toast Box,,上環干諾道中168-200號信德中心2樓239-240號舖,$51-100,新加坡菜,粉麵/米線,(3 食評),23,
8971,Masala,14.0,上環孖沙街10號地下,$51-100,印度菜,印度菜,(26 食評),323,
8972,越南牛肉粉專門店 Pho Tai,28.0,上環文咸東街49號地下,$51-100,越南菜,越南菜,(86 食評),534,
8973,無極俱樂部 Limitless Club (已搬遷),3.0,上環蘇杭街102號江寧大廈3樓,$201-400,日本菜,拉麵,(6 食評),129,
8974,新竹源越南餐廳 Sun Chuk Yuen Vietnamese Restaurant (裝修中),24.0,上環德輔道中262號一洲大廈地下及1樓,$51-100,越南菜,茶餐廳/冰室,(51 食評),244,
8975,Trattoria Queen Hollywood,15.0,上環荷李活道258號地下,$401-800,意大利菜,酒,(23 食評),2160,
8976,Cafe Queen,6.0,上環皇后大道中237號太興中心地下A舖,$101-200,意大利菜,麵包店,(10 食評),226,送 25里數 / 30積分
8977,Pasta PaPa (已搬遷),35.0,上環永樂街1-3號世瑛大廈201室,$51-100,意大利菜,樓上cafe,(47 食評),2712,
8978,Mymy Caffe (已搬遷),7.0,上環文咸東街68-74號興隆大廈401室,$50以下,意大利菜,咖啡店,(9 食評),361,
8979,意菲咖啡室 IL CAFFE (已搬遷),7.0,上環永樂街1-3號世瑛大廈103室,$51-100,意大利菜,麵包店,(12 食評),262,
8980,Mymy Caffe (已搬遷),7.0,上環急庇利街地下8號C舖,$50以下,意大利菜,咖啡店,(8 食評),133,
8981,Il Moro (已搬遷),5.0,上環樂古道2號地下C舖,$201-400,意大利菜,意大利菜,(8 食評),72,
8982,Bonheur,113.0,上環文咸東街22-26號柏廷坊6樓,$401-800,法國菜,法國菜,(141 食評),5080,
8983,La Rotisserie,17.0,上環禧利街33號地舖,$51-100,法國菜,烤肉,(21 食評),837,
8984,雅饗 Adagio (已搬遷),7.0,上環永樂街68號1樓,$101-200,法國菜,西餐廳,(14 食評),38,
8985,Corner Kitchen Cafe,36.0,上環荷李活道226號地下,$101-200,西式,三文治,(48 食評),7178,
8986,Today's Food Lab,41.0,上環文咸東街6號順發樓地下6B號舖,$51-100,西式,三文治,(41 食評),451,
8987,Pokéworld,38.0,上環禧利街8號地舖,$51-100,西式,海鮮,(50 食評),2039,
8988,Brew Bros Coffee,31.0,上環禧利街33號LG層F2舖,$51-100,澳洲菜,西式,(48 食評),6446,
8989,老爹 Daddy’s Kitchen,48.0,上環皇后大道西2-12號聯發商業中心1樓A區,$101-200,西式,多國菜,(48 食評),315,
8990,The Cupping Room,48.0,上環皇后大道中287-299號永傑中心LG舖（入口於急庇利街）,$51-100,西式,咖啡店,(77 食評),7583,
