name,location,price,country,style,likes,review,bookmark,discount_info
尚鮮火鍋海鮮料理 Seansin Seafood Hotpot Experts,190,佐敦吳松街62-64 幸福商業大廈1樓,$201-400,港式,火鍋,(201 食評),4962,送 25里數 / 30積分
E Molto Buono,195,銅鑼灣霎西街28號必發商業大廈2樓,$401-800,意大利菜,Fine Dining,(204 食評),6403,送 25里數 / 30積分
Nardo's Cafe,140,旺角彌敦道594-596號旺角新城8樓全層,$51-100,西式,樓上cafe,(176 食評),6764,送 25里數 / 30積分
Aqua,165,尖沙咀北京道1號29樓,$401-800,日本菜,海鮮,(306 食評),27177,送 25里數 / 30積分
Rimi Cafe,151,旺角登打士街43H號登打士廣場20樓全層,$51-100,西式,樓上cafe,(189 食評),6386,任何時段 訂座可享95折優惠
焱手工涮涮鍋 Yan Handcraft Hotpot,177,旺角彌敦道558-560號譽發廣場3樓,$201-400,台灣菜,火鍋,(215 食評),10127,[7:30pm前結賬離座]主菜單火鍋配料5折或套餐85折
La Postre,178,上環永樂街50號昌盛大廈3樓,$201-400,西班牙菜,甜品/糖水,(216 食評),12530,全單9折
NeNe Chicken,179,旺角亞皆老街8號朗豪坊11樓30號舖,$101-200,韓國菜,韓式炸雞,(334 食評),7152,送 25里數 / 30積分
Darci by Aldou,175,元朗鳳攸南街9號好順利大廈地下60號,$101-200,多國菜,海鮮,(206 食評),5602,訂座送即開生蠔
Wing's Kitchen,217,尖沙咀漆咸道南45-51號其士大廈地下C及D舖,$101-200,意大利菜,薄餅,(358 食評),14639,送 25里數 / 30積分
辛安東元祖奶奶雞 Spicy Andong,278,旺角白布街20號地下,$101-200,韓國菜,韓國菜,(463 食評),10775,送 25里數 / 30積分
Sabor Spanish Touch Private Kitchen,237,上環永樂街1-3號世瑛大廈6樓601室,$201-400,西班牙菜,私房菜,(259 食評),8529,送 25里數 / 30積分
Siam 28,157,銅鑼灣軒尼詩道525號澳門逸園中心28樓,$101-200,泰國菜,海鮮,(185 食評),9243,星期六、日午市全單8折優惠！
稻八日式火鍋炸物放題 Inahachi Shabu Shabu,236,荃灣德海街18號富利達中心1樓,$101-200,日本菜,火鍋,(261 食評),7828,提供網上訂座
巧得鍋 How Awesome,141,觀塘成業街15-17號成運工業大廈1樓12-14舖,$201-400,港式,火鍋,(181 食評),8822,訂座享八五折優惠(需晚上9點後入座)
Barg,184,銅鑼灣耀華街3號百樂中心1樓,$201-400,意大利菜,適合大夥人,(216 食評),7364,送 25里數 / 30積分
Spark Bar & Restaurant,170,中環蘭桂坊雲咸街29號LKF 29 4樓,$201-400,意大利菜,海鮮,(191 食評),8503,送 25里數 / 30積分
浜滝 Hamataki,187,九龍城福佬村道59號地下A舖,$201-400,日本菜,拉麵,(227 食評),5438,送 25里數 / 30積分
Amici,146,中環士丹利街11號Stanley 11 8樓,$401-800,意大利菜,Fine Dining,(163 食評),7673,送 25里數 / 30積分
飲茶 Yum Cha,104,中環德輔道中173號南豐大廈2樓1-2號舖,$101-200,粵菜 (廣東),點心,(186 食評),16686,送 25里數 / 30積分
Villa Villa,168,北角錦屏街後街25A號東發大廈地下31號舖,$101-200,西式,薄餅,(198 食評),8291,消費滿250元即送藍莓芝士餅一客
S2 鐵板燒 S2 Teppanyaki,200,佐敦偉晴街29-37號地下6號舖,$401-800,日本菜,鐵板燒,(210 食評),3859,送 25里數 / 30積分
Check-In Taipei,147,中環蘇豪荷李活道27號地舖,$101-200,台灣菜,台式飲品,(202 食評),13276,送 25里數 / 30積分
泰象館 Thai Chang House,163,九龍城城南道48號地下,$101-200,泰國菜,海鮮,(225 食評),6648,送 25里數 / 30積分
Fifty Fifty,185,長沙灣東沙島街青山道181號地下C舖,$51-100,意大利菜,All Day Breakfast,(217 食評),4175,送 25里數 / 30積分
FRITES Belgium on Tap,161,銅鑼灣希雲街38號曦巒地下1號舖,$201-400,比利時菜,西餐廳,(177 食評),10736,訂座75折優惠 (適用於 9pm - 10pm)
極尚大喜屋日本料理 Deluxe Daikiya Japanese Restaurant,187,銅鑼灣軒尼詩道489號銅鑼灣廣場一期9樓,$201-400,日本菜,日式放題,(258 食評),13036,"特選優惠時段(星期一至四:  $200, 星期五至日及公眾假期及前夕: $220)"
Neighbor,208,銅鑼灣邊寧頓街5號地鋪,$101-200,意大利菜,扒房,(268 食評),12582,訂座即可85折享用所有波士頓龍蝦菜式
協奏坊西餐廳 Sonata Western Restaurant,175,大角咀大角咀道86號九龍珀麗酒店2樓,$201-400,多國菜,自助餐,(252 食評),18944,送 25里數 / 30積分
Lifetastic,142,西環石塘咀山道31-37號地下B舖,$101-200,澳洲菜,All Day Breakfast,(210 食評),10953,慶祝尖沙咀分店隆重開幕消費單點餐牌享有七折優惠！
滿屋日本料理 Manya Japanese Restaurant,281,銅鑼灣駱克道463-483號銅鑼灣廣場二期8樓,$201-400,日本菜,日式放題,(383 食評),12014,晚市放題：85折 (7:30前離座/ 9:30後入座)
尚上下夏 - 養生雞煲火鍋 JKJ POT,211,尖沙咀山林道23號地下,$101-200,港式,火鍋,(249 食評),11490,送 25里數 / 30積分
ねずみの王冠 喫茶店 Hamsta Crown Coffee,186,觀塘巧明街106號冠力工業大廈15樓1501室,$51-100,日本菜,All Day Breakfast,(237 食評),5020,送 25里數 / 30積分
Three on Canton,132,尖沙咀廣東道13號海港城港威酒店3樓,$401-800,多國菜,自助餐,(231 食評),25401,加拿大風味之旅自助晚餐78折優惠
Goobne Chicken,151,中環威靈頓街2-8號威靈頓廣場M88 5樓,$101-200,韓國菜,韓式炸雞,(182 食評),8534,提供網上訂座
CIAK - All Day Italian,143,太古太古城道18號太古城中心2樓265號舖,$201-400,意大利菜,麵包店,(174 食評),4522,送 25里數 / 30積分
BriKetenia,162,觀塘成業街10號電訊一代廣場1樓B1號舖,$201-400,法國菜,法國菜,(208 食評),9231,送 25里數 / 30積分
El Cerdo,155,荃灣大壩街77號地舖,$201-400,西班牙菜,西班牙菜,(186 食評),5188,送 25里數 / 30積分
Pizza Maru,136,銅鑼灣軒尼詩道500號希慎廣場13樓1302舖,$101-200,韓國菜,薄餅,(181 食評),8092,送 25里數 / 30積分
Bella Shine,193,觀塘巧明街114號迅達工業大廈2樓B室,$101-200,日本菜,拉麵,(219 食評),3912,送 25里數 / 30積分
極品煮意 鷄煲.烤魚.火煱 Optimal Taste,152,葵芳盛芳街40號寬德大廈2樓,$101-200,粵菜 (廣東),火鍋,(172 食評),3025,送 25里數 / 30積分
千賀水產 Ten Million Japanese Restaurant,189,元朗西裕街達輝徑1號足彬大廈1號地舖,$101-200,日本菜,日式放題,(242 食評),10657,提供網上訂座
The Point,170,銅鑼灣登龍街52號地舖,$101-200,意大利菜,薄餅,(246 食評),10327,送 25里數 / 30積分
養心殿台式養生鍋,168,佐敦吳松街182號榮國中心2樓,$201-400,台灣菜,火鍋,(191 食評),4948,送 25里數 / 30積分
OM Tapas,130,尖沙咀棉登徑1號地舖,$201-400,西班牙菜,酒,(155 食評),7266,送 25里數 / 30積分
