Name,Location,Price,Region,Style,Likes
Mini Friday,觀塘興業街4號The Wave 3樓,$101-200,泰國菜,咖喱,231
磯野水產 Isono Suisan,銅鑼灣軒尼詩道525號澳門逸園中心19樓,$201-400,西式,西式糕點,225
九重鮮 Steam Fresh,紅磡黃埔新天地聚寶坊(第11期)地下G26號,$101-200,日本菜,海鮮,285
ROJO,天后炮台山木星街3號地下B舖,$201-400,韓國菜,火鍋,230
泰斗 Thai Master Restaurant & Bar,尖沙咀海防道38-40號中達大廈4樓全層,$201-400,西班牙菜,酒,236
滾得囍宮廷火鍋小炒 Big Boils Club,北角馬寶道33號馬寶學林1樓116-125號舖,$201-400,泰國菜,泰國菜,225
榮哥廚房私房菜,觀塘觀塘道436-484號官塘工業中心3期4樓L室,$201-400,粵菜 (廣東),火鍋,203
雅 ‧悠蔬食 Leisurely Veggie,尖沙咀金馬倫道48號中國保險大廈3樓B號舖,$101-200,粵菜 (廣東),中菜館,197
飲茶 Yum Cha,尖沙咀加連威老道20-22號瑞生尖沙咀酒店3樓,$101-200,多國菜,素食,132
蜀府川鍋,油塘四山街2號油塘工業大廈3座地下,$101-200,粵菜 (廣東),點心,221
八幡屋涮涮鍋 Yahataya Shabu Shabu,旺角彌敦道628號瓊華中心12樓全層,$101-200,川菜 (四川),火鍋,371
Mela Italian & Spanish Cuisine,觀塘巧明街94號鴻圖中心地下5D號舖,$201-400,日本菜,壽司/刺身,219
火水爐冰室火鍋 Fo Shui Lo,旺角煙廠街33號朗廷軒1樓,$101-200,意大利菜,西班牙菜,236
正宗水上人氣鍋專門店 Boat Dweller Steam Hot Pot Specialist,旺角砵蘭街196號地下,$201-400,港式,火鍋,261
La Postre,銅鑼灣銅鑼灣耀華街3-9號百樂中心19樓,$101-200,粵菜 (廣東),火鍋,191
One More Hotpot 來一鍋 One More Hotpot,銅鑼灣堅拿道西10號冠景樓2樓A號舖,$201-400,西班牙菜,甜品/糖水,273
