name,location,price,country,style,likes,review,bookmark,discount_info
M3 Italian,沙田沙角街8-12號花園城1期地下2號舖,$201-400,意大利菜,海鮮,396,(447 食評),9668,送 25里數 / 30積分
孖啡 Double Cafe,旺角彌敦道577號高氏大樓4樓,$51-100,西式,甜品/糖水,295,(385 食評),20581,提供網上訂座
韓舍 Korean House,旺角彌敦道593-601號創興廣場9樓,$101-200,韓國菜,火鍋,378,(560 食評),21949,提供網上訂座
Candies Foodies,尖沙咀樂道36-50號華源大廈1B-2B閣樓,$101-200,西式,咖啡店,350,(397 食評),9278,送 25里數 / 30積分
EAT ME Bar & Restaurant,旺角彌敦道560號譽發廣場5樓全層,$101-200,多國菜,咖啡店,481,(657 食評),20508,提供網上訂座
S2 Kitchen,中環威靈頓街51號地下A舖,$201-400,日本菜,壽司/刺身,442,(532 食評),16080,送 25里數 / 30積分
Espuma,灣仔皇后大道東202號QRE Plaza 25樓,$101-200,西班牙菜,甜品/糖水,406,(488 食評),13047,送 25里數 / 30積分
掌壽司 Tenohira Sushi,觀塘開源道60號駱駝漆大廈3座5樓U室,$201-400,日本菜,壽司/刺身,311,(391 食評),11272,送 25里數 / 30積分
I's Land Cafe,觀塘開源道62號駱駝漆大廈1座6樓A舖,$101-200,港式,西式糕點,303,(455 食評),21467,送 25里數 / 30積分
Hami Harmony,太子西洋菜北街161號地下A舖,$101-200,意大利菜,甜品/糖水,288,(361 食評),11976,送 25里數 / 30積分
Pom's Kitchen & Deli,佐敦德興街7號A-B號舖,$101-200,西式,西餐廳,268,(361 食評),18505,提供網上訂座
Le Viet,尖沙咀彌敦道100號The ONE 4樓L402舖,$101-200,越南菜,串燒,309,(391 食評),9047,送 25里數 / 30積分
Manhattan Grill & Bar,觀塘觀塘道414號一亞太中心(OPC)3樓303號舖,$201-400,美國菜,酒吧,357,(488 食評),12964,訂座享免費生日甜品及特色小食一客
第三站 Station 3 Cafe,旺角洗衣街39號金雞廣場25樓08-09室,$101-200,意大利菜,咖啡店,270,(380 食評),16978,提供網上訂座
泰燒遙 Thai on 5 Seafood Grill and Bar,尖沙咀諾士佛臺1號5樓,$201-400,泰國菜,海鮮,350,(411 食評),17849,送 25里數 / 30積分
百樂小館 Chateh,尖沙咀彌敦道132號美麗華廣場一期食四方4樓405 號舖,$201-400,潮州菜,酒樓,352,(385 食評),11904,送 25里數 / 30積分
酒鍋 The Drunken Pot,尖沙咀天文台道8號2樓1號舖,$201-400,粵菜 (廣東),火鍋,315,(390 食評),19905,晚上 10 時後入座享晚市火鍋宵夜7折優惠
大滿喜日本料理 Daimanki Japanese Restaurant,旺角彌敦道593-601號創興廣場8樓,$201-400,日本菜,日式放題,403,(493 食評),23338,提供網上訂座
Vision 8,荃灣兆和街34號永安樓地舖,$201-400,意大利菜,西式,320,(390 食評),9826,送 25里數 / 30積分
The Place,旺角上海街555號香港康得思酒店L樓層,$401-800,多國菜,海鮮,239,(481 食評),52017,送 25里數 / 30積分
FireBird,銅鑼灣邊寧頓街13號隆堡柏寧頓酒店地下,$101-200,日本菜,串燒,279,(314 食評),8206,訂座可享主餐牌9折
樂天大喜屋日本料理 Daikiya Japanese Restaurant,旺角彌敦道593-601號創興廣場2樓,$201-400,日本菜,日式放題,311,(414 食評),26419,樂天大喜屋 晚市85折特惠時段
慢煮工業 The Hangout by Under Vacuum,太子白楊街15-19號萬安大樓地下及1樓,$101-200,西式,酒,319,(412 食評),12018,送 25里數 / 30積分
The Point,尖沙咀彌敦道100號The ONE 4樓409號舖,$101-200,意大利菜,薄餅,275,(346 食評),10718,送 25里數 / 30積分
K2 Kitchen,觀塘巧明街106號冠力工業大廈13樓6室,$101-200,多國菜,海鮮,261,(311 食評),8259,提供網上訂座
16 Shell,天后炮台山蜆殼街6-16號寶榮大廈地下B舖,$101-200,意大利菜,咖啡店,336,(379 食評),7330,全單9折 
OPPA韓國燒肉店 OPPA Korean Restaurant,大埔舊墟直街4-20號美新大廈地下B2舖,$101-200,韓國菜,海鮮,302,(342 食評),6458,提供網上訂座
Odelice!,灣仔蘭杜街2號地下9號舖,$101-200,法國菜,法國菜,270,(350 食評),20279,送 25里數 / 30積分
麻辣派對 Chili Party,銅鑼灣記利佐治街1號金百利廣場4樓R1號舖,$101-200,川菜 (四川),中菜館,239,(289 食評),9000,送 25里數 / 30積分
悠蔬食 Leisurely Veggie,銅鑼灣渣甸街50號渣甸中心25樓,$101-200,多國菜,素食,238,(300 食評),15313,送 25里數 / 30積分
凡高廚房 Van Gogh Kitchen,銅鑼灣軒尼詩道451-457號勝華樓2樓B室,$201-400,意大利菜,西餐廳,396,(452 食評),8904,送 25里數 / 30積分
101手工涮涮鍋,尖沙咀厚福街9號地下,$201-400,台灣菜,火鍋,268,(310 食評),12218,送 25里數 / 30積分
