1968-12-31,Wild Thing,2
1968-12-31,Will You Love Me Tomorrow,2
1968-12-31,You Can't Hurry Love,2
1968-12-31,You Keep Me Hangin' On,2
1968-12-31,You've Lost That Lovin' Feelin',2
1968-12-31,96 Tears,1
1968-12-31,A World Without Love,1
1968-12-31,All You Need Is Love,1
1968-12-31,Alley-Oop,1
1968-12-31,Back In My Arms Again,1
1968-12-31,Deep Purple,1
1968-12-31,Don't Break The Heart That Loves You,1
1968-12-31,Eve Of Destruction,1
1968-12-31,Everybody Loves Somebody,1
1968-12-31,Game Of Love,1
1968-12-31,Georgia On My Mind,1
1968-12-31,Good Lovin',1
1968-12-31,Good Vibrations,1
1968-12-31,Green Tambourine,1
1968-12-31,Hang On Sloopy,1
1968-12-31,Harper Valley P.T.A.,1
1968-12-31,"Hello, Dolly!",1
1968-12-31,I Want To Be Wanted,1
1968-12-31,"I'm Henry VIII, I Am",1
1968-12-31,Incense And Peppermints,1
1968-12-31,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,1
1968-12-31,Last Train To Clarksville,1
1968-12-31,Leader Of The Pack,1
1968-12-31,Lightnin' Strikes,1
1968-12-31,Love Is Here And Now You're Gone,1
1968-12-31,Love Me Do,1
1968-12-31,Moody River,1
1968-12-31,Mother-In-Law,1
1968-12-31,Mr. Blue,1
1968-12-31,Mr. Custer,1
1968-12-31,Mr. Lonely,1
1968-12-31,Mr. Tambourine Man,1
1968-12-31,My Girl,1
1968-12-31,Our Day Will Come,1
1968-12-31,Over And Over,1
1968-12-31,Penny Lane,1
1968-12-31,Please Mr. Postman,1
1968-12-31,Poor Side Of Town,1
1968-12-31,Ringo,1
1968-12-31,Ruby Tuesday,1
1968-12-31,Running Scared,1
1968-12-31,So Much In Love,1
1968-12-31,Stay,1
1968-12-31,Stranger On The Shore,1
1968-12-31,Strangers In The Night,1
1968-12-31,Sunshine Superman,1
1968-12-31,The Happening,1
1968-12-31,The Happy Organ,1
1968-12-31,The Loco-Motion,1
1968-12-31,The Stripper,1
1968-12-31,These Boots Are Made For Walkin',1
1968-12-31,Ticket To Ride,1
1968-12-31,Why,1
1968-12-31,Wooden Heart,1
1978-12-31,You Light Up My Life,10
1978-12-31,Night Fever,8
1978-12-31,Tonight's The Night (Gonna Be Alright),8
1978-12-31,Shadow Dancing,7
1978-12-31,Alone Again (Naturally),6
1978-12-31,Aquarius/Let The Sunshine In,6
1978-12-31,Best Of My Love,6
1978-12-31,Bridge Over Troubled Water,6
1978-12-31,In The Year 2525,6
1978-12-31,Joy To The World,6
1978-12-31,The First Time Ever I Saw Your Face,6
1978-12-31,Get Back,5
1978-12-31,I'll Be There,5
1978-12-31,It's Too Late/I Feel The Earth Move,5
1978-12-31,Killing Me Softly With His Song,5
1978-12-31,Maggie May/Reason To Believe,5
1978-12-31,One Bad Apple,5
1978-12-31,Silly Love Songs,5
1978-12-31,(They Long To Be) Close To You,4
1978-12-31,American Pie (Parts I & II),4
1978-12-31,Disco Lady,4
1978-12-31,Dizzy,4
1978-12-31,Don't Go Breaking My Heart,4
1978-12-31,Everyday People,4
