,date,song,artist
175442,1992-04-04,Save The Best For Last,Vanessa Williams
175542,1992-04-11,Save The Best For Last,Vanessa Williams
175642,1992-04-18,Save The Best For Last,Vanessa Williams
175742,1992-04-25,Jump,Kris Kross
175842,1992-05-02,Jump,Kris Kross
175942,1992-05-09,Jump,Kris Kross
176042,1992-05-16,Jump,Kris Kross
176142,1992-05-23,Jump,Kris Kross
176242,1992-05-30,Jump,Kris Kross
176342,1992-06-06,Jump,Kris Kross
176442,1992-06-13,Jump,Kris Kross
176542,1992-06-20,I ll Be There,Mariah Carey
176642,1992-06-27,I ll Be There,Mariah Carey
176742,1992-07-04,Baby Got Back,Sir Mix-A-Lot
176842,1992-07-11,Baby Got Back,Sir Mix-A-Lot
176942,1992-07-18,Baby Got Back,Sir Mix-A-Lot
177042,1992-07-25,Baby Got Back,Sir Mix-A-Lot
177142,1992-08-01,Baby Got Back,Sir Mix-A-Lot
177242,1992-08-08,This Used To Be My Playground,Madonna
177342,1992-08-15,"End Of The Road (From ""Boomerang"")",Boyz II Men
177442,1992-08-22,"End Of The Road (From ""Boomerang"")",Boyz II Men
177542,1992-08-29,"End Of The Road (From ""Boomerang"")",Boyz II Men
177642,1992-09-05,"End Of The Road (From ""Boomerang"")",Boyz II Men
177742,1992-09-12,"End Of The Road (From ""Boomerang"")",Boyz II Men
177842,1992-09-19,"End Of The Road (From ""Boomerang"")",Boyz II Men
177942,1992-09-26,"End Of The Road (From ""Boomerang"")",Boyz II Men
178042,1992-10-03,"End Of The Road (From ""Boomerang"")",Boyz II Men
178142,1992-10-10,"End Of The Road (From ""Boomerang"")",Boyz II Men
178242,1992-10-17,"End Of The Road (From ""Boomerang"")",Boyz II Men
178342,1992-10-24,"End Of The Road (From ""Boomerang"")",Boyz II Men
178442,1992-10-31,"End Of The Road (From ""Boomerang"")",Boyz II Men
178542,1992-11-07,"End Of The Road (From ""Boomerang"")",Boyz II Men
178642,1992-11-14,How Do You Talk To An Angel,The Heights
178742,1992-11-21,How Do You Talk To An Angel,The Heights
178842,1992-11-28,"I Will Always Love You (From ""The Bodyguard"")",Whitney Houston
178942,1992-12-05,"I Will Always Love You (From ""The Bodyguard"")",Whitney Houston
179042,1992-12-12,"I Will Always Love You (From ""The Bodyguard"")",Whitney Houston
179142,1992-12-19,"I Will Always Love You (From ""The Bodyguard"")",Whitney Houston
179242,1992-12-26,"I Will Always Love You (From ""The Bodyguard"")",Whitney Houston
179342,1993-01-02,"I Will Always Love You (From ""The Bodyguard"")",Whitney Houston
179442,1993-01-09,"I Will Always Love You (From ""The Bodyguard"")",Whitney Houston
179542,1993-01-16,"I Will Always Love You (From ""The Bodyguard"")",Whitney Houston
179642,1993-01-23,"I Will Always Love You (From ""The Bodyguard"")",Whitney Houston
179742,1993-01-30,"I Will Always Love You (From ""The Bodyguard"")",Whitney Houston
179842,1993-02-06,"I Will Always Love You (From ""The Bodyguard"")",Whitney Houston
179942,1993-02-13,"I Will Always Love You (From ""The Bodyguard"")",Whitney Houston
180042,1993-02-20,"I Will Always Love You (From ""The Bodyguard"")",Whitney Houston
180142,1993-02-27,"I Will Always Love You (From ""The Bodyguard"")",Whitney Houston
180242,1993-03-06,A Whole New World (Aladdin s Theme),Peabo Bryson 
180342,1993-03-13,Informer,Snow
180442,1993-03-20,Informer,Snow
180542,1993-03-27,Informer,Snow
180642,1993-04-03,Informer,Snow
180742,1993-04-10,Informer,Snow
180842,1993-04-17,Informer,Snow
180942,1993-04-24,Informer,Snow
181042,1993-05-01,Freak Me,Silk
181142,1993-05-08,Freak Me,Silk
181242,1993-05-15,That s The Way Love Goes,Janet Jackson
181342,1993-05-22,That s The Way Love Goes,Janet Jackson
181442,1993-05-29,That s The Way Love Goes,Janet Jackson
181542,1993-06-05,That s The Way Love Goes,Janet Jackson
181642,1993-06-12,That s The Way Love Goes,Janet Jackson
181742,1993-06-19,That s The Way Love Goes,Janet Jackson
181842,1993-06-26,That s The Way Love Goes,Janet Jackson
181942,1993-07-03,That s The Way Love Goes,Janet Jackson
182042,1993-07-10,Weak,SWV
182142,1993-07-17,Weak,SWV
182242,1993-07-24,"Can t Help Falling In Love (From ""Sliver"")",UB40
182342,1993-07-31,"Can t Help Falling In Love (From ""Sliver"")",UB40
182442,1993-08-07,"Can t Help Falling In Love (From ""Sliver"")",UB40
182542,1993-08-14,"Can t Help Falling In Love (From ""Sliver"")",UB40
182642,1993-08-21,"Can t Help Falling In Love (From ""Sliver"")",UB40
182742,1993-08-28,"Can t Help Falling In Love (From ""Sliver"")",UB40
182842,1993-09-04,"Can t Help Falling In Love (From ""Sliver"")",UB40
182942,1993-09-11,Dreamlover,Mariah Carey
183042,1993-09-18,Dreamlover,Mariah Carey
183142,1993-09-25,Dreamlover,Mariah Carey
183242,1993-10-02,Dreamlover,Mariah Carey
183342,1993-10-09,Dreamlover,Mariah Carey
183442,1993-10-16,Dreamlover,Mariah Carey
183542,1993-10-23,Dreamlover,Mariah Carey
183642,1993-10-30,Dreamlover,Mariah Carey
183742,1993-11-06,I d Do Anything For Love (But I Won t Do That),Meat Loaf
183842,1993-11-13,I'd Do Anything For Love (But I Won't Do That),Meat Loaf
183942,1993-11-20,I'd Do Anything For Love (But I Won't Do That),Meat Loaf
184042,1993-11-27,I'd Do Anything For Love (But I Won't Do That),Meat Loaf
184142,1993-12-04,I'd Do Anything For Love (But I Won't Do That),Meat Loaf
184242,1993-12-11,Again,Janet Jackson
184342,1993-12-18,Again,Janet Jackson
184442,1993-12-25,Hero,Mariah Carey
184542,1994-01-01,Hero,Mariah Carey
184642,1994-01-08,Hero,Mariah Carey
184742,1994-01-15,Hero,Mariah Carey
184842,1994-01-22,All For Love,Bryan Adams/Rod Stewart/Sting
184942,1994-01-29,All For Love,Bryan Adams/Rod Stewart/Sting
185042,1994-02-05,All For Love,Bryan Adams/Rod Stewart/Sting
185142,1994-02-12,The Power Of Love,Celine Dion
185242,1994-02-19,The Power Of Love,Celine Dion
185342,1994-02-26,The Power Of Love,Celine Dion
185442,1994-03-05,The Power Of Love,Celine Dion
185542,1994-03-12,The Sign,Ace Of Base
185642,1994-03-19,The Sign,Ace Of Base
185742,1994-03-26,The Sign,Ace Of Base
185842,1994-04-02,The Sign,Ace Of Base
185942,1994-04-09,Bump N  Grind,R. Kelly
186042,1994-04-16,Bump N  Grind,R. Kelly
186142,1994-04-23,Bump N  Grind,R. Kelly
186242,1994-04-30,Bump N  Grind,R. Kelly
186342,1994-05-07,The Sign,Ace Of Base
186442,1994-05-14,The Sign,Ace Of Base
186542,1994-05-21,I Swear,All-4-One
186642,1994-05-28,I Swear,All-4-One
186742,1994-06-04,I Swear,All-4-One
186842,1994-06-11,I Swear,All-4-One
186942,1994-06-18,I Swear,All-4-One
187042,1994-06-25,I Swear,All-4-One
187142,1994-07-02,I Swear,All-4-One
187242,1994-07-09,I Swear,All-4-One
187342,1994-07-16,I Swear,All-4-One
187442,1994-07-23,I Swear,All-4-One
187542,1994-07-30,I Swear,All-4-One
187642,1994-08-06,"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb 
187742,1994-08-13,"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb 
187842,1994-08-20,"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb 
187942,1994-08-27,I ll Make Love To You,Boyz II Men
188042,1994-09-03,I ll Make Love To You,Boyz II Men
188142,1994-09-10,I ll Make Love To You,Boyz II Men
188242,1994-09-17,I ll Make Love To You,Boyz II Men
188342,1994-09-24,I ll Make Love To You,Boyz II Men
188442,1994-10-01,I ll Make Love To You,Boyz II Men
188542,1994-10-08,I ll Make Love To You,Boyz II Men
188642,1994-10-15,I ll Make Love To You,Boyz II Men
188742,1994-10-22,I ll Make Love To You,Boyz II Men
188842,1994-10-29,I ll Make Love To You,Boyz II Men
188942,1994-11-05,I ll Make Love To You,Boyz II Men
189042,1994-11-12,I ll Make Love To You,Boyz II Men
189142,1994-11-19,I ll Make Love To You,Boyz II Men
189242,1994-11-26,I ll Make Love To You,Boyz II Men
189342,1994-12-03,On Bended Knee,Boyz II Men
189442,1994-12-10,On Bended Knee,Boyz II Men
189542,1994-12-17,"Here Comes The Hotstepper (From ""Ready To Wear"")",Ini Kamoze
189642,1994-12-24,"Here Comes The Hotstepper (From ""Ready To Wear"")",Ini Kamoze
189742,1994-12-31,On Bended Knee,Boyz II Men
189842,1995-01-07,On Bended Knee,Boyz II Men
189942,1995-01-14,On Bended Knee,Boyz II Men
190042,1995-01-21,On Bended Knee,Boyz II Men
190142,1995-01-28,Creep,TLC
190242,1995-02-04,Creep,TLC
190342,1995-02-11,Creep,TLC
190442,1995-02-18,Creep,TLC
190542,1995-02-25,Take A Bow,Madonna
190642,1995-03-04,Take A Bow,Madonna
190742,1995-03-11,Take A Bow,Madonna
190842,1995-03-18,Take A Bow,Madonna
190942,1995-03-25,Take A Bow,Madonna
191042,1995-04-01,Take A Bow,Madonna
191142,1995-04-08,Take A Bow,Madonna
191242,1995-04-15,This Is How We Do It,Montell Jordan
191342,1995-04-22,This Is How We Do It,Montell Jordan
191442,1995-04-29,This Is How We Do It,Montell Jordan
191542,1995-05-06,This Is How We Do It,Montell Jordan
191642,1995-05-13,This Is How We Do It,Montell Jordan
191742,1995-05-20,This Is How We Do It,Montell Jordan
191842,1995-05-27,This Is How We Do It,Montell Jordan
191942,1995-06-03,Have You Ever Really Loved A Woman?,Bryan Adams
192042,1995-06-10,Have You Ever Really Loved A Woman?,Bryan Adams
192142,1995-06-17,Have You Ever Really Loved A Woman?,Bryan Adams
192242,1995-06-24,Have You Ever Really Loved A Woman?,Bryan Adams
192342,1995-07-01,Have You Ever Really Loved A Woman?,Bryan Adams
192442,1995-07-08,Waterfalls,TLC
192542,1995-07-15,Waterfalls,TLC
192642,1995-07-22,Waterfalls,TLC
192742,1995-07-29,Waterfalls,TLC
192842,1995-08-05,Waterfalls,TLC
192942,1995-08-12,Waterfalls,TLC
193042,1995-08-19,Waterfalls,TLC
193142,1995-08-26,"Kiss From A Rose (From ""Batman Forever"")",Seal
193242,1995-09-02,You Are Not Alone,Michael Jackson
193342,1995-09-09,"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.
193442,1995-09-16,"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.
193542,1995-09-23,"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.
193642,1995-09-30,Fantasy,Mariah Carey
193742,1995-10-07,Fantasy,Mariah Carey
193842,1995-10-14,Fantasy,Mariah Carey
193942,1995-10-21,Fantasy,Mariah Carey
194042,1995-10-28,Fantasy,Mariah Carey
194142,1995-11-04,Fantasy,Mariah Carey
194242,1995-11-11,Fantasy,Mariah Carey
194342,1995-11-18,Fantasy,Mariah Carey
194442,1995-11-25,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",Whitney Houston
194542,1995-12-02,One Sweet Day,Mariah Carey & Boyz II Men
194642,1995-12-09,One Sweet Day,Mariah Carey & Boyz II Men
194742,1995-12-16,One Sweet Day,Mariah Carey & Boyz II Men
194842,1995-12-23,One Sweet Day,Mariah Carey & Boyz II Men
194942,1995-12-30,One Sweet Day,Mariah Carey & Boyz II Men
195042,1996-01-06,One Sweet Day,Mariah Carey & Boyz II Men
195142,1996-01-13,One Sweet Day,Mariah Carey & Boyz II Men
195242,1996-01-20,One Sweet Day,Mariah Carey & Boyz II Men
195342,1996-01-27,One Sweet Day,Mariah Carey & Boyz II Men
195442,1996-02-03,One Sweet Day,Mariah Carey & Boyz II Men
195542,1996-02-10,One Sweet Day,Mariah Carey & Boyz II Men
195642,1996-02-17,One Sweet Day,Mariah Carey & Boyz II Men
195742,1996-02-24,One Sweet Day,Mariah Carey & Boyz II Men
195842,1996-03-02,One Sweet Day,Mariah Carey & Boyz II Men
195942,1996-03-09,One Sweet Day,Mariah Carey & Boyz II Men
196042,1996-03-16,One Sweet Day,Mariah Carey & Boyz II Men
196142,1996-03-23,"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion
196242,1996-03-30,"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion
196342,1996-04-06,"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion
196442,1996-04-13,"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion
196542,1996-04-20,"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion
196642,1996-04-27,"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion
196742,1996-05-04,Always Be My Baby,Mariah Carey
196842,1996-05-11,Always Be My Baby,Mariah Carey
196942,1996-05-18,Tha Crossroads,Bone Thugs-N-Harmony
197042,1996-05-25,Tha Crossroads,Bone Thugs-N-Harmony
197142,1996-06-01,Tha Crossroads,Bone Thugs-N-Harmony
197242,1996-06-08,Tha Crossroads,Bone Thugs-N-Harmony
197342,1996-06-15,Tha Crossroads,Bone Thugs-N-Harmony
197442,1996-06-22,Tha Crossroads,Bone Thugs-N-Harmony
197542,1996-06-29,Tha Crossroads,Bone Thugs-N-Harmony
197642,1996-07-06,Tha Crossroads,Bone Thugs-N-Harmony
197742,1996-07-13,How Do U Want It/California Love,2Pac Featuring KC And JoJo
197842,1996-07-20,How Do U Want It/California Love,2Pac Featuring KC And JoJo
197942,1996-07-27,You're Makin' Me High/Let It Flow,Toni Braxton
198042,1996-08-03,Macarena (Bayside Boys Mix),Los Del Rio
198142,1996-08-10,Macarena (Bayside Boys Mix),Los Del Rio
198242,1996-08-17,Macarena (Bayside Boys Mix),Los Del Rio
198342,1996-08-24,Macarena (Bayside Boys Mix),Los Del Rio
198442,1996-08-31,Macarena (Bayside Boys Mix),Los Del Rio
198542,1996-09-07,Macarena (Bayside Boys Mix),Los Del Rio
198642,1996-09-14,Macarena (Bayside Boys Mix),Los Del Rio
198742,1996-09-21,Macarena (Bayside Boys Mix),Los Del Rio
198842,1996-09-28,Macarena (Bayside Boys Mix),Los Del Rio
198942,1996-10-05,Macarena (Bayside Boys Mix),Los Del Rio
199042,1996-10-12,Macarena (Bayside Boys Mix),Los Del Rio
199142,1996-10-19,Macarena (Bayside Boys Mix),Los Del Rio
199242,1996-10-26,Macarena (Bayside Boys Mix),Los Del Rio
199342,1996-11-02,Macarena (Bayside Boys Mix),Los Del Rio
199442,1996-11-09,No Diggity,BLACKstreet (Featuring Dr. Dre)
199542,1996-11-16,No Diggity,BLACKstreet (Featuring Dr. Dre)
199642,1996-11-23,No Diggity,BLACKstreet (Featuring Dr. Dre)
199742,1996-11-30,No Diggity,BLACKstreet (Featuring Dr. Dre)
199842,1996-12-07,Un-Break My Heart,Toni Braxton
199942,1996-12-14,Un-Break My Heart,Toni Braxton
200042,1996-12-21,Un-Break My Heart,Toni Braxton
200142,1996-12-28,Un-Break My Heart,Toni Braxton
200242,1997-01-04,Un-Break My Heart,Toni Braxton
200342,1997-01-11,Un-Break My Heart,Toni Braxton
200442,1997-01-18,Un-Break My Heart,Toni Braxton
200542,1997-01-25,Un-Break My Heart,Toni Braxton
200642,1997-02-01,Un-Break My Heart,Toni Braxton
200742,1997-02-08,Un-Break My Heart,Toni Braxton
200842,1997-02-15,Un-Break My Heart,Toni Braxton
200942,1997-02-22,Wannabe,Spice Girls
201042,1997-03-01,Wannabe,Spice Girls
201142,1997-03-08,Wannabe,Spice Girls
201242,1997-03-15,Wannabe,Spice Girls
201342,1997-03-22,Can't Nobody Hold Me Down,Puff Daddy (Featuring Mase)
201442,1997-03-29,Can't Nobody Hold Me Down,Puff Daddy (Featuring Mase)
201542,1997-04-05,Can't Nobody Hold Me Down,Puff Daddy (Featuring Mase)
201642,1997-04-12,Can't Nobody Hold Me Down,Puff Daddy (Featuring Mase)
201742,1997-04-19,Can't Nobody Hold Me Down,Puff Daddy (Featuring Mase)
201842,1997-04-26,Can't Nobody Hold Me Down,Puff Daddy (Featuring Mase)
201942,1997-05-03,Hypnotize,The Notorious B.I.G.
202042,1997-05-10,Hypnotize,The Notorious B.I.G.
202142,1997-05-17,Hypnotize,The Notorious B.I.G.
202242,1997-05-24,Mmmbop,Hanson
202342,1997-05-31,Mmmbop,Hanson
202442,1997-06-07,Mmmbop,Hanson
202542,1997-06-14,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112
202642,1997-06-21,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112
202742,1997-06-28,I ll Be Missing You,Puff Daddy 
202842,1997-07-05,I ll Be Missing You,Puff Daddy 
202942,1997-07-12,I ll Be Missing You,Puff Daddy 
203042,1997-07-19,I ll Be Missing You,Puff Daddy 
203142,1997-07-26,I ll Be Missing You,Puff Daddy 
203242,1997-08-02,I ll Be Missing You,Puff Daddy 
203342,1997-08-09,I ll Be Missing You,Puff Daddy 
203442,1997-08-16,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112
203542,1997-08-23,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112
203642,1997-08-30,Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase
203742,1997-09-06,Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase
203842,1997-09-13,Honey,Mariah Carey
203942,1997-09-20,Honey,Mariah Carey
204042,1997-09-27,Honey,Mariah Carey
204142,1997-10-04,4 Seasons Of Loneliness,Boyz II Men
204242,1997-10-11,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John
204342,1997-10-18,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John
204442,1997-10-25,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John
204542,1997-11-01,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John
204642,1997-11-08,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John
204742,1997-11-15,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John
204842,1997-11-22,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John
204942,1997-11-29,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John
205042,1997-12-06,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John
205142,1997-12-13,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John
205242,1997-12-20,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John
205342,1997-12-27,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John
205442,1998-01-03,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John
205542,1998-01-10,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John
205642,1998-01-17,Truly Madly Deeply,Savage Garden
205742,1998-01-24,Truly Madly Deeply,Savage Garden
205842,1998-01-31,Together Again,Janet
205942,1998-02-07,Together Again,Janet
206042,1998-02-14,Nice & Slow,Usher
206142,1998-02-21,Nice & Slow,Usher
206242,1998-02-28,My Heart Will Go On,Celine Dion
206342,1998-03-07,My Heart Will Go On,Celine Dion
206442,1998-03-14,Gettin' Jiggy Wit It,Will Smith
206542,1998-03-21,Gettin' Jiggy Wit It,Will Smith
206642,1998-03-28,Gettin' Jiggy Wit It,Will Smith
206742,1998-04-04,All My Life,K-Ci & JoJo
206842,1998-04-11,All My Life,K-Ci & JoJo
206942,1998-04-18,All My Life,K-Ci 
207042,1998-04-25,Too Close,Next
207142,1998-05-02,Too Close,Next
207242,1998-05-09,Too Close,Next
207342,1998-05-16,Too Close,Next
207442,1998-05-23,My All,Mariah Carey
207542,1998-05-30,Too Close,Next
207642,1998-06-06,The Boy Is Mine,Brandy 
207742,1998-06-13,The Boy Is Mine,Brandy 
207842,1998-06-20,The Boy Is Mine,Brandy 
207942,1998-06-27,The Boy Is Mine,Brandy 
208042,1998-07-04,The Boy Is Mine,Brandy 
208142,1998-07-11,The Boy Is Mine,Brandy 
208242,1998-07-18,The Boy Is Mine,Brandy 
208342,1998-07-25,The Boy Is Mine,Brandy 
208442,1998-08-01,The Boy Is Mine,Brandy 
208542,1998-08-08,The Boy Is Mine,Brandy 
208642,1998-08-15,The Boy Is Mine,Brandy & Monica
208742,1998-08-22,The Boy Is Mine,Brandy 
208842,1998-08-29,The Boy Is Mine,Brandy 
208942,1998-09-05,I Don t Want To Miss A Thing,Aerosmith
209042,1998-09-12,I Don't Want To Miss A Thing,Aerosmith
209142,1998-09-19,I Don't Want To Miss A Thing,Aerosmith
209242,1998-09-26,I Don't Want To Miss A Thing,Aerosmith
209342,1998-10-03,The First Night,Monica
209442,1998-10-10,The First Night,Monica
209542,1998-10-17,One Week,Barenaked Ladies
209642,1998-10-24,The First Night,Monica
209742,1998-10-31,The First Night,Monica
209842,1998-11-07,The First Night,Monica
209942,1998-11-14,Doo Wop (That Thing),Lauryn Hill
210042,1998-11-21,Doo Wop (That Thing),Lauryn Hill
210142,1998-11-28,Lately,Divine
210242,1998-12-05,I m Your Angel,R. Kelly 
210342,1998-12-12,I m Your Angel,R. Kelly 
210442,1998-12-19,I m Your Angel,R. Kelly 
210542,1998-12-26,I m Your Angel,R. Kelly 
210642,1999-01-02,I m Your Angel,R. Kelly 
210742,1999-01-09,I m Your Angel,R. Kelly 
210842,1999-01-16,Have You Ever?,Brandy
210942,1999-01-23,Have You Ever?,Brandy
211042,1999-01-30,...Baby One More Time,Britney Spears
211142,1999-02-06,...Baby One More Time,Britney Spears
211242,1999-02-13,Angel Of Mine,Monica
211342,1999-02-20,Angel Of Mine,Monica
211442,1999-02-27,Angel Of Mine,Monica
211542,1999-03-06,Angel Of Mine,Monica
211642,1999-03-13,Believe,Cher
211742,1999-03-20,Believe,Cher
211842,1999-03-27,Believe,Cher
211942,1999-04-03,Believe,Cher
212042,1999-04-10,No Scrubs,TLC
212142,1999-04-17,No Scrubs,TLC
212242,1999-04-24,No Scrubs,TLC
212342,1999-05-01,No Scrubs,TLC
212442,1999-05-08,Livin  La Vida Loca,Ricky Martin
212542,1999-05-15,Livin  La Vida Loca,Ricky Martin
212642,1999-05-22,Livin  La Vida Loca,Ricky Martin
212742,1999-05-29,Livin  La Vida Loca,Ricky Martin
212842,1999-06-05,Livin  La Vida Loca,Ricky Martin
212942,1999-06-12,If You Had My Love,Jennifer Lopez
213042,1999-06-19,If You Had My Love,Jennifer Lopez
213142,1999-06-26,If You Had My Love,Jennifer Lopez
213242,1999-07-03,If You Had My Love,Jennifer Lopez
213342,1999-07-10,If You Had My Love,Jennifer Lopez
213442,1999-07-17,"Bills, Bills, Bills",Destiny s Child
213542,1999-07-24,Wild Wild West,Will Smith Featuring Dru Hill 
213642,1999-07-31,Genie In A Bottle,Christina Aguilera
213742,1999-08-07,Genie In A Bottle,Christina Aguilera
213842,1999-08-14,Genie In A Bottle,Christina Aguilera
213942,1999-08-21,Genie In A Bottle,Christina Aguilera
214042,1999-08-28,Genie In A Bottle,Christina Aguilera
214142,1999-09-04,Bailamos,Enrique Iglesias
214242,1999-09-11,Bailamos,Enrique Iglesias
214342,1999-09-18,Unpretty,TLC
214442,1999-09-25,Unpretty,TLC
214542,1999-10-02,Unpretty,TLC
214642,1999-10-09,Heartbreaker,Mariah Carey Featuring Jay-Z
214742,1999-10-16,Heartbreaker,Mariah Carey Featuring Jay-Z
214842,1999-10-23,Smooth,Santana Featuring Rob Thomas
214942,1999-10-30,Smooth,Santana Featuring Rob Thomas
215042,1999-11-06,Smooth,Santana Featuring Rob Thomas
215142,1999-11-13,Smooth,Santana Featuring Rob Thomas
215242,1999-11-20,Smooth,Santana Featuring Rob Thomas
215342,1999-11-27,Smooth,Santana Featuring Rob Thomas
215442,1999-12-04,Smooth,Santana Featuring Rob Thomas
215542,1999-12-11,Smooth,Santana Featuring Rob Thomas
215642,1999-12-18,Smooth,Santana Featuring Rob Thomas
215742,1999-12-25,Smooth,Santana Featuring Rob Thomas
215842,2000-01-01,Smooth,Santana Featuring Rob Thomas
215942,2000-01-08,Smooth,Santana Featuring Rob Thomas
216042,2000-01-15,What A Girl Wants,Christina Aguilera
216142,2000-01-22,What A Girl Wants,Christina Aguilera
216242,2000-01-29,I Knew I Loved You,Savage Garden
216342,2000-02-05,I Knew I Loved You,Savage Garden
216442,2000-02-12,I Knew I Loved You,Savage Garden
216542,2000-02-19,Thank God I Found You,Mariah Carey Featuring Joe 
216642,2000-02-26,I Knew I Loved You,Savage Garden
216742,2000-03-04,Amazed,Lonestar
216842,2000-03-11,Amazed,Lonestar
216942,2000-03-18,Say My Name,Destiny s Child
217042,2000-03-25,Say My Name,Destiny s Child
217142,2000-04-01,Say My Name,Destiny s Child
217242,2000-04-08,Maria Maria,Santana Featuring The Product G
217342,2000-04-15,Maria Maria,Santana Featuring The Product G
217442,2000-04-22,Maria Maria,Santana Featuring The Product G
217542,2000-04-29,Maria Maria,Santana Featuring The Product G
217642,2000-05-06,Maria Maria,Santana Featuring The Product G
217742,2000-05-13,Maria Maria,Santana Featuring The Product G
217842,2000-05-20,Maria Maria,Santana Featuring The Product G
217942,2000-05-27,Maria Maria,Santana Featuring The Product G
218042,2000-06-03,Maria Maria,Santana Featuring The Product G
218142,2000-06-10,Maria Maria,Santana Featuring The Product G
218242,2000-06-17,Try Again,Aaliyah
218342,2000-06-24,Be With You,Enrique Iglesias
218442,2000-07-01,Be With You,Enrique Iglesias
218542,2000-07-08,Be With You,Enrique Iglesias
218642,2000-07-15,Everything You Want,Vertical Horizon
218742,2000-07-22,Bent,matchbox twenty
218842,2000-07-29,It s Gonna Be Me,N Sync
218942,2000-08-05,It s Gonna Be Me,N Sync
219042,2000-08-12,Incomplete,Sisqo
219142,2000-08-19,Incomplete,Sisqo
219242,2000-08-26,Doesn t Really Matter,Janet
219342,2000-09-02,Doesn t Really Matter,Janet
219442,2000-09-09,Doesn t Really Matter,Janet
219542,2000-09-16,Music,Madonna
219642,2000-09-23,Music,Madonna
219742,2000-09-30,Music,Madonna
219842,2000-10-07,Music,Madonna
219942,2000-10-14,Come On Over Baby (All I Want Is You),Christina Aguilera
220042,2000-10-21,Come On Over Baby (All I Want Is You),Christina Aguilera
220142,2000-10-28,Come On Over Baby (All I Want Is You),Christina Aguilera
220242,2000-11-04,Come On Over Baby (All I Want Is You),Christina Aguilera
220342,2000-11-11,With Arms Wide Open,Creed
220442,2000-11-18,Independent Women Part I,Destiny s Child
220542,2000-11-25,Independent Women Part I,Destiny s Child
220642,2000-12-02,Independent Women Part I,Destiny s Child
220742,2000-12-09,Independent Women Part I,Destiny s Child
220842,2000-12-16,Independent Women Part I,Destiny s Child
220942,2000-12-23,Independent Women Part I,Destiny's Child
221042,2000-12-30,Independent Women Part I,Destiny's Child
221142,2001-01-06,Independent Women Part I,Destiny's Child
221242,2001-01-13,Independent Women Part I,Destiny's Child
221342,2001-01-20,Independent Women Part I,Destiny's Child
221442,2001-01-27,Independent Women Part I,Destiny's Child
221542,2001-02-03,It Wasn't Me,"Shaggy Featuring Ricardo ""RikRok"" Ducent"
221642,2001-02-10,It Wasn't Me,"Shaggy Featuring Ricardo ""RikRok"" Ducent"
221742,2001-02-17,Ms. Jackson,OutKast
221842,2001-02-24,Stutter,Joe Featuring Mystikal
221942,2001-03-03,Stutter,Joe Featuring Mystikal
222042,2001-03-10,Stutter,Joe Featuring Mystikal
222142,2001-03-17,Stutter,Joe Featuring Mystikal
222242,2001-03-24,Butterfly,Crazy Town
222342,2001-03-31,Angel,Shaggy Featuring Rayvon
222442,2001-04-07,Butterfly,Crazy Town
222542,2001-04-14,All For You,Janet
222642,2001-04-21,All For You,Janet
222742,2001-04-28,All For You,Janet
222842,2001-05-05,All For You,Janet
222942,2001-05-12,All For You,Janet
223042,2001-05-19,All For You,Janet
223142,2001-05-26,All For You,Janet
223242,2001-06-02,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & Pink"
223342,2001-06-09,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & Pink"
223442,2001-06-16,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & Pink"
